range_id,deviation_code,grades
"0-3","A","{""9"":[295,270],""10"":[310,270],""11"":[330,270],""12"":[370,270],""13"":[410,270]}"
"3-6","A","{""9"":[300,270],""10"":[318,270],""11"":[345,270],""12"":[390,270],""13"":[450,270]}"
"6-10","A","{""9"":[316,280],""10"":[338,280],""11"":[370,280],""12"":[430,280],""13"":[500,280]}"
"10-18","A","{""9"":[333,290],""10"":[360,290],""11"":[400,290],""12"":[470,290],""13"":[560,290]}"
"18-30","A","{""9"":[352,300],""10"":[384,300],""11"":[430,300],""12"":[510,300],""13"":[630,300]}"
"30-40","A","{""9"":[372,310],""10"":[410,310],""11"":[470,310],""12"":[560,310],""13"":[700,310]}"
"40-50","A","{""9"":[382,320],""10"":[420,320],""11"":[480,320],""12"":[570,320],""13"":[710,320]}"
"50-65","A","{""9"":[414,340],""10"":[460,340],""11"":[530,340],""12"":[640,340],""13"":[800,340]}"
"65-80","A","{""9"":[434,360],""10"":[480,360],""11"":[550,360],""12"":[660,360],""13"":[820,360]}"
"80-100","A","{""9"":[467,380],""10"":[520,380],""11"":[600,380],""12"":[730,380],""13"":[920,380]}"
"100-120","A","{""9"":[497,410],""10"":[550,410],""11"":[630,410],""12"":[760,410],""13"":[950,410]}"
"120-140","A","{""9"":[560,460],""10"":[620,460],""11"":[710,460],""12"":[860,460],""13"":[1090,460]}"
"140-160","A","{""9"":[620,520],""10"":[680,520],""11"":[770,520],""12"":[920,520],""13"":[1150,520]}"
"160-180","A","{""9"":[680,580],""10"":[740,580],""11"":[830,580],""12"":[980,580],""13"":[1210,580]}"
"180-200","A","{""9"":[775,660],""10"":[845,660],""11"":[950,660],""12"":[1120,660],""13"":[1380,660]}"
"200-225","A","{""9"":[855,740],""10"":[925,740],""11"":[1030,740],""12"":[1200,740],""13"":[1460,740]}"
"225-250","A","{""9"":[935,820],""10"":[1005,820],""11"":[1110,820],""12"":[1280,820],""13"":[1540,820]}"
"250-280","A","{""9"":[1050,920],""10"":[1130,920],""11"":[1240,920],""12"":[1440,920],""13"":[1730,920]}"
"280-315","A","{""9"":[1180,1050],""10"":[1260,1050],""11"":[1370,1050],""12"":[1570,1050],""13"":[1860,1050]}"
"315-355","A","{""9"":[1340,1200],""10"":[1430,1200],""11"":[1560,1200],""12"":[1770,1200],""13"":[2090,1200]}"
"355-400","A","{""9"":[1490,1350],""10"":[1580,1350],""11"":[1710,1350],""12"":[1920,1350],""13"":[2240,1350]}"
"400-450","A","{""9"":[1655,1500],""10"":[1750,1500],""11"":[1900,1500],""12"":[2130,1500],""13"":[2470,1500]}"
"450-500","A","{""9"":[1805,1650],""10"":[1900,1650],""11"":[2050,1650],""12"":[2280,1650],""13"":[2620,1650]}"
"0-3","B","{""8"":[154,140],""9"":[165,140],""10"":[180,140],""11"":[200,140],""12"":[240,140],""13"":[280,140]}"
"3-6","B","{""8"":[158,140],""9"":[170,140],""10"":[188,140],""11"":[215,140],""12"":[260,140],""13"":[320,140]}"
"6-10","B","{""8"":[172,150],""9"":[186,150],""10"":[208,150],""11"":[240,150],""12"":[300,150],""13"":[370,150]}"
"10-18","B","{""8"":[177,150],""9"":[193,150],""10"":[220,150],""11"":[260,150],""12"":[330,150],""13"":[420,150]}"
"18-30","B","{""8"":[193,160],""9"":[212,160],""10"":[244,160],""11"":[290,160],""12"":[370,160],""13"":[490,160]}"
"30-40","B","{""8"":[209,170],""9"":[232,170],""10"":[270,170],""11"":[330,170],""12"":[420,170],""13"":[560,170]}"
"40-50","B","{""8"":[219,180],""9"":[242,180],""10"":[280,180],""11"":[340,180],""12"":[430,180],""13"":[570,180]}"
"50-65","B","{""8"":[236,190],""9"":[264,190],""10"":[310,190],""11"":[380,190],""12"":[490,190],""13"":[650,190]}"
"65-80","B","{""8"":[246,200],""9"":[274,200],""10"":[320,200],""11"":[390,200],""12"":[500,200],""13"":[660,200]}"
"80-100","B","{""8"":[274,220],""9"":[307,220],""10"":[360,220],""11"":[440,220],""12"":[570,220],""13"":[760,220]}"
"100-120","B","{""8"":[294,240],""9"":[327,240],""10"":[380,240],""11"":[460,240],""12"":[590,240],""13"":[780,240]}"
"120-140","B","{""8"":[323,260],""9"":[360,260],""10"":[420,260],""11"":[510,260],""12"":[660,260],""13"":[890,260]}"
