range_id,deviation_code,grades
"0-3","a","{""9"":[-270,-295],""10"":[-270,-310],""11"":[-270,-330],""12"":[-270,-370],""13"":[-270,-410]}"
"3-6","a","{""9"":[-270,-300],""10"":[-270,-318],""11"":[-270,-345],""12"":[-270,-390],""13"":[-270,-450]}"
"6-10","a","{""9"":[-280,-316],""10"":[-280,-338],""11"":[-280,-370],""12"":[-280,-430],""13"":[-280,-500]}"
"10-18","a","{""9"":[-290,-333],""10"":[-290,-360],""11"":[-290,-400],""12"":[-290,-470],""13"":[-290,-560]}"
"18-30","a","{""9"":[-300,-352],""10"":[-300,-384],""11"":[-300,-430],""12"":[-300,-510],""13"":[-300,-630]}"
"30-40","a","{""9"":[-310,-372],""10"":[-310,-410],""11"":[-310,-470],""12"":[-310,-560],""13"":[-310,-700]}"
"40-50","a","{""9"":[-320,-382],""10"":[-320,-420],""11"":[-320,-480],""12"":[-320,-570],""13"":[-320,-710]}"
"50-65","a","{""9"":[-340,-414],""10"":[-340,-460],""11"":[-340,-530],""12"":[-340,-640],""13"":[-340,-800]}"
"65-80","a","{""9"":[-360,-434],""10"":[-360,-480],""11"":[-360,-550],""12"":[-360,-660],""13"":[-360,-820]}"
"80-100","a","{""9"":[-380,-467],""10"":[-380,-520],""11"":[-380,-600],""12"":[-380,-730],""13"":[-380,-920]}"
"100-120","a","{""9"":[-410,-497],""10"":[-410,-550],""11"":[-410,-630],""12"":[-410,-760],""13"":[-410,-950]}"
"120-140","a","{""9"":[-460,-560],""10"":[-460,-620],""11"":[-460,-710],""12"":[-460,-860],""13"":[-460,-1090]}"
"140-160","a","{""9"":[-520,-620],""10"":[-520,-680],""11"":[-520,-770],""12"":[-520,-920],""13"":[-520,-1150]}"
"160-180","a","{""9"":[-580,-680],""10"":[-580,-740],""11"":[-580,-830],""12"":[-580,-980],""13"":[-580,-1210]}"
"180-200","a","{""9"":[-660,-775],""10"":[-660,-845],""11"":[-660,-950],""12"":[-660,-1120],""13"":[-660,-1380]}"
"200-225","a","{""9"":[-740,-855],""10"":[-740,-925],""11"":[-740,-1030],""12"":[-740,-1200],""13"":[-740,-1460]}"
"225-250","a","{""9"":[-820,-935],""10"":[-820,-1005],""11"":[-820,-1110],""12"":[-820,-1280],""13"":[-820,-1540]}"
"250-280","a","{""9"":[-920,-1050],""10"":[-920,-1130],""11"":[-920,-1240],""12"":[-920,-1440],""13"":[-920,-1730]}"
"280-315","a","{""9"":[-1050,-1180],""10"":[-1050,-1260],""11"":[-1050,-1370],""12"":[-1050,-1570],""13"":[-1050,-1860]}"
"315-355","a","{""9"":[-1200,-1340],""10"":[-1200,-1430],""11"":[-1200,-1560],""12"":[-1200,-1770],""13"":[-1200,-2090]}"
"355-400","a","{""9"":[-1350,-1490],""10"":[-1350,-1580],""11"":[-1350,-1710],""12"":[-1350,-1920],""13"":[-1350,-2240]}"
"400-450","a","{""9"":[-1500,-1655],""10"":[-1500,-1750],""11"":[-1500,-1900],""12"":[-1500,-2130],""13"":[-1500,-2470]}"
"450-500","a","{""9"":[-1650,-1805],""10"":[-1650,-1900],""11"":[-1650,-2050],""12"":[-1650,-2280],""13"":[-1650,-2620]}"
