range_id,deviation_code,grades
"0-3","b","{""8"":[-140,-154],""9"":[-140,-165],""10"":[-140,-180],""11"":[-140,-200],""12"":[-140,-240],""13"":[-140,-280]}"
"3-6","b","{""8"":[-140,-158],""9"":[-140,-170],""10"":[-140,-188],""11"":[-140,-215],""12"":[-140,-260],""13"":[-140,-320]}"
"6-10","b","{""8"":[-150,-172],""9"":[-150,-186],""10"":[-150,-208],""11"":[-150,-240],""12"":[-150,-300],""13"":[-150,-370]}"
"10-18","b","{""8"":[-150,-177],""9"":[-150,-193],""10"":[-150,-220],""11"":[-150,-260],""12"":[-150,-330],""13"":[-150,-420]}"
"18-30","b","{""8"":[-160,-193],""9"":[-160,-212],""10"":[-160,-244],""11"":[-160,-290],""12"":[-160,-370],""13"":[-160,-490]}"
"30-40","b","{""8"":[-170,-209],""9"":[-170,-232],""10"":[-170,-270],""11"":[-170,-330],""12"":[-170,-420],""13"":[-170,-560]}"
"40-50","b","{""8"":[-180,-219],""9"":[-180,-242],""10"":[-180,-280],""11"":[-180,-340],""12"":[-180,-430],""13"":[-180,-570]}"
"50-65","b","{""8"":[-190,-236],""9"":[-190,-264],""10"":[-190,-310],""11"":[-190,-380],""12"":[-190,-490],""13"":[-190,-650]}"
"65-80","b","{""8"":[-200,-246],""9"":[-200,-274],""10"":[-200,-320],""11"":[-200,-390],""12"":[-200,-500],""13"":[-200,-660]}"
"80-100","b","{""8"":[-220,-274],""9"":[-220,-307],""10"":[-220,-360],""11"":[-220,-440],""12"":[-220,-570],""13"":[-220,-760]}"
"100-120","b","{""8"":[-240,-294],""9"":[-240,-327],""10"":[-240,-380],""11"":[-240,-460],""12"":[-240,-590],""13"":[-240,-780]}"
"120-140","b","{""8"":[-260,-323],""9"":[-260,-360],""10"":[-260,-420],""11"":[-260,-510],""12"":[-260,-660],""13"":[-260,-890]}"
"140-160","b","{""8"":[-280,-343],""9"":[-280,-380],""10"":[-280,-440],""11"":[-280,-530],""12"":[-280,-680],""13"":[-280,-910]}"
"160-180","b","{""8"":[-310,-373],""9"":[-310,-410],""10"":[-310,-470],""11"":[-310,-560],""12"":[-310,-710],""13"":[-310,-940]}"
"180-200","b","{""8"":[-340,-412],""9"":[-340,-455],""10"":[-340,-525],""11"":[-340,-630],""12"":[-340,-800],""13"":[-340,-1060]}"
"200-225","b","{""8"":[-380,-452],""9"":[-380,-495],""10"":[-380,-565],""11"":[-380,-670],""12"":[-380,-840],""13"":[-380,-1100]}"
"225-250","b","{""8"":[-420,-492],""9"":[-420,-535],""10"":[-420,-605],""11"":[-420,-710],""12"":[-420,-880],""13"":[-420,-1140]}"
"250-280","b","{""8"":[-480,-561],""9"":[-480,-610],""10"":[-480,-690],""11"":[-480,-800],""12"":[-480,-1000],""13"":[-480,-1290]}"
"280-315","b","{""8"":[-540,-621],""9"":[-540,-670],""10"":[-540,-750],""11"":[-540,-860],""12"":[-540,-1060],""13"":[-540,-1350]}"
"315-355","b","{""8"":[-600,-689],""9"":[-600,-740],""10"":[-600,-830],""11"":[-600,-960],""12"":[-600,-1170],""13"":[-600,-1490]}"
"355-400","b","{""8"":[-680,-769],""9"":[-680,-820],""10"":[-680,-910],""11"":[-680,-1040],""12"":[-680,-1250],""13"":[-680,-1570]}"
"400-450","b","{""8"":[-760,-857],""9"":[-760,-915],""10"":[-760,-1010],""11"":[-760,-1160],""12"":[-760,-1390],""13"":[-760,-1730]}"
"450-500","b","{""8"":[-840,-937],""9"":[-840,-995],""10"":[-840,-1090],""11"":[-840,-1240],""12"":[-840,-1470],""13"":[-840,-1810]}"
