range_id,deviation_code,grades
"0-3","c","{""8"":[-60,-74],""9"":[-60,-85],""10"":[-60,-100],""11"":[-60,-120],""12"":[-60,-160]}"
"3-6","c","{""8"":[-70,-88],""9"":[-70,-100],""10"":[-70,-118],""11"":[-70,-145],""12"":[-70,-190]}"
"6-10","c","{""8"":[-80,-102],""9"":[-80,-116],""10"":[-80,-138],""11"":[-80,-170],""12"":[-80,-230]}"
"10-18","c","{""8"":[-95,-122],""9"":[-95,-138],""10"":[-95,-165],""11"":[-95,-205],""12"":[-95,-275]}"
"18-30","c","{""8"":[-110,-143],""9"":[-110,-162],""10"":[-110,-194],""11"":[-110,-240],""12"":[-110,-320]}"
"30-40","c","{""8"":[-120,-159],""9"":[-120,-182],""10"":[-120,-220],""11"":[-120,-280],""12"":[-120,-370]}"
"40-50","c","{""8"":[-130,-169],""9"":[-130,-192],""10"":[-130,-230],""11"":[-130,-290],""12"":[-130,-380]}"
"50-65","c","{""8"":[-140,-186],""9"":[-140,-214],""10"":[-140,-260],""11"":[-140,-330],""12"":[-140,-440]}"
"65-80","c","{""8"":[-150,-196],""9"":[-150,-224],""10"":[-150,-270],""11"":[-150,-340],""12"":[-150,-450]}"
"80-100","c","{""8"":[-170,-224],""9"":[-170,-257],""10"":[-170,-310],""11"":[-170,-390],""12"":[-170,-520]}"
"100-120","c","{""8"":[-180,-234],""9"":[-180,-267],""10"":[-180,-320],""11"":[-180,-400],""12"":[-180,-530]}"
"120-140","c","{""8"":[-200,-263],""9"":[-200,-300],""10"":[-200,-360],""11"":[-200,-450],""12"":[-200,-600]}"
"140-160","c","{""8"":[-210,-273],""9"":[-210,-310],""10"":[-210,-370],""11"":[-210,-460],""12"":[-210,-610]}"
"160-180","c","{""8"":[-230,-293],""9"":[-230,-330],""10"":[-230,-390],""11"":[-230,-480],""12"":[-230,-630]}"
"180-200","c","{""8"":[-240,-312],""9"":[-240,-355],""10"":[-240,-425],""11"":[-240,-530],""12"":[-240,-700]}"
"200-225","c","{""8"":[-260,-332],""9"":[-260,-375],""10"":[-260,-445],""11"":[-260,-550],""12"":[-260,-720]}"
"225-250","c","{""8"":[-280,-352],""9"":[-280,-395],""10"":[-280,-465],""11"":[-280,-570],""12"":[-280,-740]}"
"250-280","c","{""8"":[-300,-381],""9"":[-300,-430],""10"":[-300,-510],""11"":[-300,-620],""12"":[-300,-820]}"
"280-315","c","{""8"":[-330,-411],""9"":[-330,-460],""10"":[-330,-540],""11"":[-330,-650],""12"":[-330,-850]}"
"315-355","c","{""8"":[-360,-449],""9"":[-360,-500],""10"":[-360,-590],""11"":[-360,-720],""12"":[-360,-930]}"
"355-400","c","{""8"":[-400,-489],""9"":[-400,-540],""10"":[-400,-630],""11"":[-400,-760],""12"":[-400,-970]}"
"400-450","c","{""8"":[-440,-537],""9"":[-440,-595],""10"":[-440,-690],""11"":[-440,-840],""12"":[-440,-1070]}"
"450-500","c","{""8"":[-480,-577],""9"":[-480,-635],""10"":[-480,-730],""11"":[-480,-880],""12"":[-480,-1110]}"
