range_id,deviation_code,grades
"0-3","d","{""5"":[-20,-24],""6"":[-20,-26],""7"":[-20,-30],""8"":[-20,-34],""9"":[-20,-45],""10"":[-20,-60],""11"":[-20,-80],""12"":[-20,-120],""13"":[-20,-160]}"
"3-6","d","{""5"":[-30,-35],""6"":[-30,-38],""7"":[-30,-42],""8"":[-30,-48],""9"":[-30,-60],""10"":[-30,-78],""11"":[-30,-105],""12"":[-30,-150],""13"":[-30,-210]}"
"6-10","d","{""5"":[-40,-46],""6"":[-40,-49],""7"":[-40,-55],""8"":[-40,-62],""9"":[-40,-76],""10"":[-40,-98],""11"":[-40,-130],""12"":[-40,-190],""13"":[-40,-260]}"
"10-18","d","{""5"":[-50,-58],""6"":[-50,-61],""7"":[-50,-68],""8"":[-50,-77],""9"":[-50,-93],""10"":[-50,-120],""11"":[-50,-160],""12"":[-50,-230],""13"":[-50,-320]}"
"18-30","d","{""5"":[-65,-74],""6"":[-65,-78],""7"":[-65,-86],""8"":[-65,-98],""9"":[-65,-117],""10"":[-65,-149],""11"":[-65,-195],""12"":[-65,-275],""13"":[-65,-395]}"
"30-50","d","{""5"":[-80,-91],""6"":[-80,-96],""7"":[-80,-105],""8"":[-80,-119],""9"":[-80,-142],""10"":[-80,-180],""11"":[-80,-240],""12"":[-80,-330],""13"":[-80,-470]}"
"50-80","d","{""5"":[-100,-113],""6"":[-100,-119],""7"":[-100,-130],""8"":[-100,-146],""9"":[-100,-174],""10"":[-100,-220],""11"":[-100,-290],""12"":[-100,-400],""13"":[-100,-560]}"
"80-120","d","{""5"":[-120,-135],""6"":[-120,-142],""7"":[-120,-155],""8"":[-120,-174],""9"":[-120,-207],""10"":[-120,-260],""11"":[-120,-340],""12"":[-120,-470],""13"":[-120,-660]}"
"120-180","d","{""5"":[-145,-163],""6"":[-145,-170],""7"":[-145,-185],""8"":[-145,-208],""9"":[-145,-245],""10"":[-145,-305],""11"":[-145,-395],""12"":[-145,-545],""13"":[-145,-775]}"
"180-250","d","{""5"":[-170,-190],""6"":[-170,-199],""7"":[-170,-216],""8"":[-170,-242],""9"":[-170,-285],""10"":[-170,-355],""11"":[-170,-460],""12"":[-170,-630],""13"":[-170,-890]}"
"250-315","d","{""5"":[-190,-213],""6"":[-190,-222],""7"":[-190,-242],""8"":[-190,-271],""9"":[-190,-320],""10"":[-190,-400],""11"":[-190,-510],""12"":[-190,-710],""13"":[-190,-1000]}"
"315-400","d","{""5"":[-210,-235],""6"":[-210,-246],""7"":[-210,-267],""8"":[-210,-299],""9"":[-210,-350],""10"":[-210,-440],""11"":[-210,-570],""12"":[-210,-780],""13"":[-210,-1100]}"
"400-500","d","{""5"":[-230,-257],""6"":[-230,-270],""7"":[-230,-293],""8"":[-230,-327],""9"":[-230,-385],""10"":[-230,-480],""11"":[-230,-630],""12"":[-230,-860],""13"":[-230,-1200]}"
"500-630","d","{""7"":[-260,-330],""8"":[-260,-370],""9"":[-260,-435],""10"":[-260,-540],""11"":[-260,-700]}"
"630-800","d","{""7"":[-290,-370],""8"":[-290,-415],""9"":[-290,-490],""10"":[-290,-610],""11"":[-290,-710]}"
"800-1000","d","{""7"":[-320,-410],""8"":[-320,-460],""9"":[-320,-550],""10"":[-320,-680],""11"":[-320,-880]}"
"1000-1250","d","{""7"":[-350,-455],""8"":[-350,-515],""9"":[-350,-610],""10"":[-350,-770],""11"":[-350,-1010]}"
"1250-1600","d","{""7"":[-390,-515],""8"":[-390,-585],""9"":[-390,-700],""10"":[-390,-890],""11"":[-390,-1170]}"
"1600-2000","d","{""7"":[-430,-580],""8"":[-430,-660],""9"":[-430,-800],""10"":[-430,-1030],""11"":[-430,-1350]}"
"2000-2500","d","{""7"":[-480,-655],""8"":[-480,-760],""9"":[-480,-920],""10"":[-480,-1180],""11"":[-480,-1580]}"
"2500-3150","d","{""7"":[-520,-730],""8"":[-520,-850],""9"":[-520,-1060],""10"":[-520,-1380],""11"":[-520,-1870]}"
