range_id,deviation_code,grades
"0-3","e","{""5"":[-14,-18],""6"":[-14,-20],""7"":[-14,-24],""8"":[-14,-28],""9"":[-14,-39],""10"":[-14,-54]}"
"3-6","e","{""5"":[-20,-25],""6"":[-20,-28],""7"":[-20,-32],""8"":[-20,-38],""9"":[-20,-50],""10"":[-20,-68]}"
"6-10","e","{""5"":[-25,-31],""6"":[-25,-34],""7"":[-25,-40],""8"":[-25,-47],""9"":[-25,-61],""10"":[-25,-83]}"
"10-18","e","{""5"":[-32,-40],""6"":[-32,-43],""7"":[-32,-50],""8"":[-32,-59],""9"":[-32,-75],""10"":[-32,-102]}"
"18-30","e","{""5"":[-40,-49],""6"":[-40,-53],""7"":[-40,-61],""8"":[-40,-73],""9"":[-40,-92],""10"":[-40,-124]}"
"30-50","e","{""5"":[-50,-61],""6"":[-50,-66],""7"":[-50,-75],""8"":[-50,-89],""9"":[-50,-112],""10"":[-50,-150]}"
"50-80","e","{""5"":[-60,-73],""6"":[-60,-79],""7"":[-60,-90],""8"":[-60,-106],""9"":[-60,-134],""10"":[-60,-180]}"
"80-120","e","{""5"":[-72,-87],""6"":[-72,-94],""7"":[-72,-107],""8"":[-72,-126],""9"":[-72,-159],""10"":[-72,-212]}"
"120-180","e","{""5"":[-85,-103],""6"":[-85,-110],""7"":[-85,-125],""8"":[-85,-148],""9"":[-85,-185],""10"":[-85,-245]}"
"180-250","e","{""5"":[-100,-120],""6"":[-100,-129],""7"":[-100,-146],""8"":[-100,-172],""9"":[-100,-215],""10"":[-100,-285]}"
"250-315","e","{""5"":[-110,-133],""6"":[-110,-142],""7"":[-110,-162],""8"":[-110,-191],""9"":[-110,-240],""10"":[-110,-320]}"
"315-400","e","{""5"":[-125,-150],""6"":[-125,-161],""7"":[-125,-182],""8"":[-125,-214],""9"":[-125,-265],""10"":[-125,-355]}"
"400-500","e","{""5"":[-135,-162],""6"":[-135,-175],""7"":[-135,-198],""8"":[-135,-232],""9"":[-135,-290],""10"":[-135,-385]}"
"500-630","e","{""6"":[-145,-189],""7"":[-145,-215],""8"":[-145,-255],""9"":[-145,-320],""10"":[-145,-425]}"
"630-800","e","{""6"":[-160,-210],""7"":[-160,-240],""8"":[-160,-285],""9"":[-160,-360],""10"":[-160,-480]}"
"800-1000","e","{""6"":[-170,-226],""7"":[-170,-260],""8"":[-170,-310],""9"":[-170,-400],""10"":[-170,-530]}"
"1000-1250","e","{""6"":[-195,-261],""7"":[-195,-300],""8"":[-195,-360],""9"":[-195,-455],""10"":[-195,-615]}"
"1260-1600","e","{""6"":[-220,-298],""7"":[-220,-345],""8"":[-220,-415],""9"":[-220,-530],""10"":[-220,-720]}"
"1600-2000","e","{""6"":[-240,-332],""7"":[-240,-390],""8"":[-240,-470],""9"":[-240,-610],""10"":[-240,-840]}"
"2000-2500","e","{""6"":[-260,-370],""7"":[-260,-435],""8"":[-260,-540],""9"":[-260,-700],""10"":[-260,-960]}"
"2500-3150","e","{""6"":[-290,-425],""7"":[-290,-500],""8"":[-290,-620],""9"":[-290,-830],""10"":[-290,-1150]}"
