range_id,deviation_code,grades
"0-3","f","{""3"":[-6,-8],""4"":[-6,-9],""5"":[-6,-10],""6"":[-6,-12],""7"":[-6,-16],""8"":[-6,-20],""9"":[-6,-31],""10"":[-6,-46]}"
"3-6","f","{""3"":[-10,-12.5],""4"":[-10,-14],""5"":[-10,-15],""6"":[-10,-18],""7"":[-10,-22],""8"":[-10,-28],""9"":[-10,-40],""10"":[-10,-58]}"
"6-10","f","{""3"":[-13,-15.5],""4"":[-13,-17],""5"":[-13,-19],""6"":[-13,-22],""7"":[-13,-28],""8"":[-13,-35],""9"":[-13,-49],""10"":[-13,-71]}"
"10-18","f","{""3"":[-16,-19],""4"":[-16,-21],""5"":[-16,-24],""6"":[-16,-27],""7"":[-16,-34],""8"":[-16,-43],""9"":[-16,-59],""10"":[-16,-86]}"
"18-30","f","{""3"":[-20,-24],""4"":[-20,-26],""5"":[-20,-29],""6"":[-20,-33],""7"":[-20,-41],""8"":[-20,-53],""9"":[-20,-72],""10"":[-20,-104]}"
"30-50","f","{""3"":[-25,-29],""4"":[-25,-32],""5"":[-25,-36],""6"":[-25,-41],""7"":[-25,-50],""8"":[-25,-64],""9"":[-25,-87],""10"":[-25,-125]}"
"50-80","f","{""4"":[-30,-38],""5"":[-30,-43],""6"":[-30,-49],""7"":[-30,-60],""8"":[-30,-76],""9"":[-30,-104]}"
"80-120","f","{""4"":[-36,-46],""5"":[-36,-51],""6"":[-36,-58],""7"":[-36,-71],""8"":[-36,-90],""9"":[-36,-123]}"
"120-180","f","{""4"":[-43,-55],""5"":[-43,-61],""6"":[-43,-68],""7"":[-43,-83],""8"":[-43,-106],""9"":[-43,-143]}"
"180-250","f","{""4"":[-50,-64],""5"":[-50,-70],""6"":[-50,-79],""7"":[-50,-96],""8"":[-50,-122],""9"":[-50,-165]}"
"250-315","f","{""4"":[-56,-72],""5"":[-56,-79],""6"":[-56,-88],""7"":[-56,-108],""8"":[-56,-137],""9"":[-56,-186]}"
"315-400","f","{""4"":[-62,-80],""5"":[-62,-87],""6"":[-62,-98],""7"":[-62,-119],""8"":[-62,-151],""9"":[-62,-202]}"
"400-500","f","{""4"":[-68,-88],""5"":[-68,-95],""6"":[-68,-108],""7"":[-68,-131],""8"":[-68,-165],""9"":[-68,-223]}"
"500-630","f","{""6"":[-76,-120],""7"":[-76,-146],""8"":[-76,-186],""9"":[-76,-251]}"
"630-800","f","{""6"":[-80,-130],""7"":[-80,-160],""8"":[-80,-205],""9"":[-80,-280]}"
"800-1000","f","{""6"":[-86,-142],""7"":[-86,-176],""8"":[-86,-226],""9"":[-86,-316]}"
"1000-1250","f","{""6"":[-98,-164],""7"":[-98,-203],""8"":[-98,-263],""9"":[-98,-358]}"
"1250-1600","f","{""6"":[-110,-188],""7"":[-110,-235],""8"":[-110,-305],""9"":[-110,-420]}"
"1600-2000","f","{""6"":[-120,-212],""7"":[-120,-270],""8"":[-120,-350],""9"":[-120,-490]}"
"2000-2500","f","{""6"":[-130,-240],""7"":[-130,-305],""8"":[-130,-410],""9"":[-130,-570]}"
"2500-3150","f","{""6"":[-145,-280],""7"":[-145,-355],""8"":[-145,-475],""9"":[-145,-685]}"
