range_id,deviation_code,grades
"0-3","g","{""3"":[-2,-4],""4"":[-2,-5],""5"":[-2,-6],""6"":[-2,-8],""7"":[-2,-12],""8"":[-2,-16],""9"":[-2,-27],""10"":[-2,-42]}"
"3-6","g","{""3"":[-4,-6.5],""4"":[-4,-8],""5"":[-4,-9],""6"":[-4,-12],""7"":[-4,-16],""8"":[-4,-22],""9"":[-4,-34],""10"":[-4,-52]}"
"6-10","g","{""3"":[-5,-7.5],""4"":[-5,-9],""5"":[-5,-11],""6"":[-5,-14],""7"":[-5,-20],""8"":[-5,-27],""9"":[-5,-41],""10"":[-5,-63]}"
"10-18","g","{""3"":[-6,-9],""4"":[-6,-11],""5"":[-6,-14],""6"":[-6,-17],""7"":[-6,-24],""8"":[-6,-33],""9"":[-6,-49],""10"":[-6,-76]}"
"18-30","g","{""3"":[-7,-11],""4"":[-7,-13],""5"":[-7,-16],""6"":[-7,-20],""7"":[-7,-28],""8"":[-7,-40],""9"":[-7,-59],""10"":[-7,-91]}"
"30-50","g","{""3"":[-9,-13],""4"":[-9,-16],""5"":[-9,-20],""6"":[-9,-25],""7"":[-9,-34],""8"":[-9,-48],""9"":[-9,-71],""10"":[-9,-109]}"
"50-80","g","{""4"":[-10,-18],""5"":[-10,-23],""6"":[-10,-29],""7"":[-10,-40],""8"":[-10,-56]}"
"80-120","g","{""4"":[-12,-22],""5"":[-12,-27],""6"":[-12,-34],""7"":[-12,-47],""8"":[-12,-66]}"
"120-180","g","{""4"":[-14,-26],""5"":[-14,-32],""6"":[-14,-39],""7"":[-14,-54],""8"":[-14,-77]}"
"180-250","g","{""4"":[-15,-29],""5"":[-15,-35],""6"":[-15,-44],""7"":[-15,-61],""8"":[-15,-87]}"
"250-315","g","{""4"":[-17,-33],""5"":[-17,-40],""6"":[-17,-49],""7"":[-17,-69],""8"":[-17,-98]}"
"315-400","g","{""4"":[-18,-36],""5"":[-18,-43],""6"":[-18,-54],""7"":[-18,-75],""8"":[-18,-107]}"
"400-500","g","{""4"":[-20,-40],""5"":[-20,-47],""6"":[-20,-60],""7"":[-20,-83],""8"":[-20,-117]}"
"500-630","g","{""6"":[-22,-66],""7"":[-22,-92],""8"":[-22,-132]}"
"630-800","g","{""6"":[-24,-74],""7"":[-24,-104],""8"":[-24,-149]}"
"800-1000","g","{""6"":[-26,-82],""7"":[-26,-116],""8"":[-26,-166]}"
"1000-1250","g","{""6"":[-28,-94],""7"":[-28,-133],""8"":[-28,-193]}"
"1250-1600","g","{""6"":[-30,-108],""7"":[-30,-155],""8"":[-30,-225]}"
"1600-2000","g","{""6"":[-32,-124],""7"":[-32,-182],""8"":[-32,-262]}"
"2000-2500","g","{""6"":[-34,-144],""7"":[-34,-209],""8"":[-34,-314]}"
"2500-3150","g","{""6"":[-38,-173],""7"":[-38,-248],""8"":[-38,-368]}"
