range_id,deviation_code,grades
"0-3","h","{""1"":[0,-0.8],""2"":[0,-1.2],""3"":[0,-2],""4"":[0,-3],""5"":[0,-4],""6"":[0,-6],""7"":[0,-10],""8"":[0,-14],""9"":[0,-25],""10"":[0,-40],""11"":[0,-60],""12"":[0,-100],""13"":[0,-140],""14"":[0,-250],""15"":[0,-400],""16"":[0,-600]}"
"3-6","h","{""1"":[0,-1],""2"":[0,-1.5],""3"":[0,-2.5],""4"":[0,-4],""5"":[0,-5],""6"":[0,-8],""7"":[0,-12],""8"":[0,-18],""9"":[0,-30],""10"":[0,-48],""11"":[0,-75],""12"":[0,-120],""13"":[0,-180],""14"":[0,-300],""15"":[0,-480],""16"":[0,-750],""17"":[0,-1200],""18"":[0,-1800]}"
"6-10","h","{""1"":[0,-1],""2"":[0,-1.5],""3"":[0,-2.5],""4"":[0,-4],""5"":[0,-6],""6"":[0,-9],""7"":[0,-15],""8"":[0,-22],""9"":[0,-36],""10"":[0,-58],""11"":[0,-90],""12"":[0,-150],""13"":[0,-220],""14"":[0,-360],""15"":[0,-580],""16"":[0,-900],""17"":[0,-1500],""18"":[0,-2200]}"
"10-18","h","{""1"":[0,-1.2],""2"":[0,-2],""3"":[0,-3],""4"":[0,-5],""5"":[0,-8],""6"":[0,-11],""7"":[0,-18],""8"":[0,-27],""9"":[0,-43],""10"":[0,-70],""11"":[0,-110],""12"":[0,-180],""13"":[0,-270],""14"":[0,-430],""15"":[0,-700],""16"":[0,-1100],""17"":[0,-1800],""18"":[0,-2700]}"
"18-30","h","{""1"":[0,-1.5],""2"":[0,-2.5],""3"":[0,-4],""4"":[0,-6],""5"":[0,-9],""6"":[0,-13],""7"":[0,-21],""8"":[0,-33],""9"":[0,-52],""10"":[0,-84],""11"":[0,-130],""12"":[0,-210],""13"":[0,-330],""14"":[0,-520],""15"":[0,-840],""16"":[0,-1300],""17"":[0,-2100],""18"":[0,-3300]}"
"30-50","h","{""1"":[0,-1.5],""2"":[0,-2.5],""3"":[0,-4],""4"":[0,-7],""5"":[0,-11],""6"":[0,-16],""7"":[0,-25],""8"":[0,-39],""9"":[0,-62],""10"":[0,-100],""11"":[0,-160],""12"":[0,-250],""13"":[0,-390],""14"":[0,-620],""15"":[0,-1000],""16"":[0,-1600],""17"":[0,-2500],""18"":[0,-3900]}"
"50-80","h","{""1"":[0,-2],""2"":[0,-3],""3"":[0,-5],""4"":[0,-8],""5"":[0,-13],""6"":[0,-19],""7"":[0,-30],""8"":[0,-46],""9"":[0,-74],""10"":[0,-120],""11"":[0,-190],""12"":[0,-300],""13"":[0,-460],""14"":[0,-740],""15"":[0,-1200],""16"":[0,-1900],""17"":[0,-3000],""18"":[0,-4600]}"
"80-120","h","{""1"":[0,-2.5],""2"":[0,-4],""3"":[0,-6],""4"":[0,-10],""5"":[0,-15],""6"":[0,-22],""7"":[0,-35],""8"":[0,-54],""9"":[0,-87],""10"":[0,-140],""11"":[0,-220],""12"":[0,-350],""13"":[0,-540],""14"":[0,-870],""15"":[0,-1400],""16"":[0,-2200],""17"":[0,-3500],""18"":[0,-5400]}"
"120-180","h","{""1"":[0,-3.5],""2"":[0,-5],""3"":[0,-8],""4"":[0,-12],""5"":[0,-18],""6"":[0,-25],""7"":[0,-40],""8"":[0,-63],""9"":[0,-100],""10"":[0,-160],""11"":[0,-250],""12"":[0,-400],""13"":[0,-630],""14"":[0,-1000],""15"":[0,-1600],""16"":[0,-2500],""17"":[0,-4000],""18"":[0,-6300]}"
"180-250","h","{""1"":[0,-4.5],""2"":[0,-7],""3"":[0,-10],""4"":[0,-14],""5"":[0,-20],""6"":[0,-29],""7"":[0,-46],""8"":[0,-72],""9"":[0,-115],""10"":[0,-185],""11"":[0,-290],""12"":[0,-460],""13"":[0,-720],""14"":[0,-1150],""15"":[0,-1850],""16"":[0,-2900],""17"":[0,-4600],""18"":[0,-7200]}"
