range_id,deviation_code,grades
"0-3","j","{""5"":[2,-2],""6"":[4,-2],""7"":[6,-4],""8"":[8,-6]}"
"3-6","j","{""5"":[3,-2],""6"":[6,-2],""7"":[8,-4]}"
"6-10","j","{""5"":[4,-2],""6"":[7,-2],""7"":[10,-5]}"
"10-18","j","{""5"":[5,-3],""6"":[8,-2],""7"":[12,-6]}"
"18-30","j","{""5"":[5,-4],""6"":[9,-4],""7"":[13,-8]}"
"30-50","j","{""5"":[6,-5],""6"":[11,-5],""7"":[15,-10]}"
"50-80","j","{""5"":[6,-7],""6"":[12,-7],""7"":[18,-12]}"
"80-120","j","{""5"":[6,-9],""6"":[13,-9],""7"":[20,-15]}"
"120-180","j","{""5"":[7,-11],""6"":[14,-11],""7"":[22,-18]}"
"180-250","j","{""5"":[7,-13],""6"":[16,-13],""7"":[25,-21]}"
"250-315","j","{""5"":[7,-16],""6"":[16,-16],""7"":[26,-26]}"
"315-400","j","{""5"":[7,-18],""6"":[18,-18],""7"":[29,-28]}"
"400-500","j","{""5"":[7,-20],""6"":[20,-20],""7"":[31,-32]}"
