range_id,deviation_code,grades
"0-3","js","{""1"":[0.4,-0.4],""2"":[0.6,-0.6],""3"":[1,-1],""4"":[1.5,-1.5],""5"":[2,-2],""6"":[3,-3],""7"":[5,-5],""8"":[7,-7],""9"":[12.5,-12.5],""10"":[20,-20],""11"":[30,-30],""12"":[50,-50],""13"":[70,-70],""14"":[125,-125],""15"":[200,-200],""16"":[300,-300]}"
"3-6","js","{""1"":[0.5,-0.5],""2"":[0.75,-0.75],""3"":[1.25,-1.25],""4"":[2,-2],""5"":[2.5,-2.5],""6"":[4,-4],""7"":[6,-6],""8"":[9,-9],""9"":[15,-15],""10"":[24,-24],""11"":[37.5,-37.5],""12"":[60,-60],""13"":[90,-90],""14"":[150,-150],""15"":[240,-240],""16"":[375,-375],""17"":[600,-600],""18"":[900,-900]}"
"6-10","js","{""1"":[0.5,-0.5],""2"":[0.75,-0.75],""3"":[1.25,-1.25],""4"":[2,-2],""5"":[3,-3],""6"":[4.5,-4.5],""7"":[7.5,-7.5],""8"":[11,-11],""9"":[18,-18],""10"":[29,-29],""11"":[45,-45],""12"":[75,-75],""13"":[110,-110],""14"":[180,-180],""15"":[290,-290],""16"":[450,-450],""17"":[750,-750],""18"":[1100,-1100]}"
"10-18","js","{""1"":[0.6,-0.6],""2"":[1,-1],""3"":[1.5,-1.5],""4"":[2.5,-2.5],""5"":[4,-4],""6"":[5.5,-5.5],""7"":[9,-9],""8"":[13.5,-13.5],""9"":[21.5,-21.5],""10"":[35,-35],""11"":[55,-55],""12"":[90,-90],""13"":[135,-135],""14"":[215,-215],""15"":[350,-350],""16"":[550,-550],""17"":[900,-900],""18"":[1350,-1350]}"
"18-30","js","{""1"":[0.75,-0.75],""2"":[1.25,-1.25],""3"":[2,-2],""4"":[3,-3],""5"":[4.5,-4.5],""6"":[6.5,-6.5],""7"":[10.5,-10.5],""8"":[16.5,-16.5],""9"":[26,-26],""10"":[42,-42],""11"":[65,-65],""12"":[105,-105],""13"":[165,-165],""14"":[260,-260],""15"":[420,-420],""16"":[650,-650],""17"":[1050,-1050],""18"":[1650,-1650]}"
"30-50","js","{""1"":[0.75,-0.75],""2"":[1.25,-1.25],""3"":[2,-2],""4"":[3.5,-3.5],""5"":[5.5,-5.5],""6"":[8,-8],""7"":[12.5,-12.5],""8"":[19.5,-19.5],""9"":[31,-31],""10"":[50,-50],""11"":[80,-80],""12"":[125,-125],""13"":[195,-195],""14"":[310,-310],""15"":[500,-500],""16"":[800,-800],""17"":[1250,-1250],""18"":[1950,-1950]}"
"50-80","js","{""1"":[1,-1],""2"":[1.5,-1.5],""3"":[2.5,-2.5],""4"":[4,-4],""5"":[6.5,-6.5],""6"":[9.5,-9.5],""7"":[15,-15],""8"":[23,-23],""9"":[37,-37],""10"":[60,-60],""11"":[95,-95],""12"":[150,-150],""13"":[230,-230],""14"":[370,-370],""15"":[600,-600],""16"":[950,-950],""17"":[1500,-1500],""18"":[2300,-2300]}"
"80-120","js","{""1"":[1.25,-1.25],""2"":[2,-2],""3"":[3,-3],""4"":[5,-5],""5"":[7.5,-7.5],""6"":[11,-11],""7"":[17.5,-17.5],""8"":[27,-27],""9"":[43.5,-43.5],""10"":[70,-70],""11"":[110,-110],""12"":[175,-175],""13"":[270,-270],""14"":[435,-435],""15"":[700,-700],""16"":[1100,-1100],""17"":[1750,-1750],""18"":[2700,-2700]}"
"120-180","js","{""1"":[1.75,-1.75],""2"":[2.5,-2.5],""3"":[4,-4],""4"":[6,-6],""5"":[9,-9],""6"":[12.5,-12.5],""7"":[20,-20],""8"":[31.5,-31.5],""9"":[50,-50],""10"":[80,-80],""11"":[125,-125],""12"":[200,-200],""13"":[315,-315],""14"":[500,-500],""15"":[800,-800],""16"":[1250,-1250],""17"":[2000,-2000],""18"":[3150,-3150]}"
"180-250","js","{""1"":[2.25,-2.25],""2"":[3.5,-3.5],""3"":[5,-5],""4"":[7,-7],""5"":[10,-10],""6"":[14.5,-14.5],""7"":[23,-23],""8"":[36,-36],""9"":[57.5,-57.5],""10"":[92.5,-92.5],""11"":[145,-145],""12"":[230,-230],""13"":[360,-360],""14"":[575,-575],""15"":[925,-925],""16"":[1450,-1450],""17"":[2300,-2300],""18"":[3600,-3600]}"
"250-315","js","{""1"":[3,-3],""2"":[4,-4],""3"":[6,-6],""4"":[8,-8],""5"":[11.5,-11.5],""6"":[15,-15],""7"":[26,-26],""8"":[40.5,-40.5],""9"":[65,-65],""10"":[105,-105],""11"":[160,-160],""12"":[280,-280],""13"":[405,-405],""14"":[650,-650],""15"":[1050,-1050],""16"":[1600,-1600],""17"":[2600,-2600],""18"":[4050,-4050]}"
"315-400","js","{""1"":[3.5,-3.5],""2"":[4.5,-4.5],""3"":[6.5,-6.5],""4"":[9,-9],""5"":[12.5,-12.5],""6"":[18,-18],""7"":[28.5,-28.5],""8"":[44.5,-44.5],""9"":[70,-70],""10"":[115,-115],""11"":[180,-180],""12"":[285,-285],""13"":[445,-445],""14"":[700,-700],""15"":[1150,-1150],""16"":[1800,-1800],""17"":[2850,-2850],""18"":[4450,-4450]}"
"400-500","js","{""1"":[4,-4],""2"":[5,-5],""3"":[7.5,-7.5],""4"":[10,-10],""5"":[13.5,-13.5],""6"":[20,-20],""7"":[31.5,-31.5],""8"":[48.5,-48.5],""9"":[77.5,-77.5],""10"":[125,-125],""11"":[200,-200],""12"":[315,-315],""13"":[485,-485],""14"":[775,-775],""15"":[1250,-1250],""16"":[2000,-2000],""17"":[3150,-3150],""18"":[4850,-4850]}"
"500-630","js","{""1"":[4.5,-4.5],""2"":[5.5,-5.5],""3"":[8,-8],""4"":[11,-11],""5"":[16,-16],""6"":[22,-22],""7"":[35,-35],""8"":[55,-55],""9"":[87.5,-87.5],""10"":[140,-140],""11"":[220,-220],""12"":[350,-350],""13"":[550,-550],""14"":[875,-875],""15"":[1400,-1400],""16"":[2200,-2200],""17"":[3500,-3500],""18"":[5500,-5500]}"
"630-800","js","{""1"":[5,-5],""2"":[6.5,-6.5],""3"":[9,-9],""4"":[12.5,-12.5],""5"":[18,-18],""6"":[25,-25],""7"":[40,-40],""8"":[62.5,-62.5],""9"":[100,-100],""10"":[160,-160],""11"":[250,-250],""12"":[400,-400],""13"":[625,-625],""14"":[1000,-1000],""15"":[1600,-1600],""16"":[2500,-2500],""17"":[4000,-4000],""18"":[6250,-6250]}"
"800-1000","js","{""1"":[5.5,-5.5],""2"":[7.5,-7.5],""3"":[10.5,-10.5],""4"":[14,-14],""5"":[20,-20],""6"":[28,-28],""7"":[45,-45],""8"":[70,-70],""9"":[115,-115],""10"":[180,-180],""11"":[280,-280],""12"":[450,-450],""13"":[700,-700],""14"":[1150,-1150],""15"":[1800,-1800],""16"":[2800,-2800],""17"":[4500,-4500],""18"":[7000,-7000]}"
"1000-1250","js","{""1"":[6.5,-6.5],""2"":[9,-9],""3"":[12,-12],""4"":[16.5,-16.5],""5"":[23.5,-23.5],""6"":[33,-33],""7"":[52.5,-52.5],""8"":[82.5,-82.5],""9"":[130,-130],""10"":[210,-210],""11"":[330,-330],""12"":[525,-525],""13"":[825,-825],""14"":[1300,-1300],""15"":[2100,-2100],""16"":[3300,-3300],""17"":[5250,-5250],""18"":[8250,-8250]}"
"1250-1600","js","{""1"":[7.5,-7.5],""2"":[10.5,-10.5],""3"":[14.5,-14.5],""4"":[19.5,-19.5],""5"":[27.5,-27.5],""6"":[39,-39],""7"":[62.5,-62.5],""8"":[97.5,-97.5],""9"":[155,-155],""10"":[250,-250],""11"":[390,-390],""12"":[625,-625],""13"":[975,-975],""14"":[1550,-1550],""15"":[2500,-2500],""16"":[3900,-3900],""17"":[6250,-6250],""18"":[9750,-9750]}"
"1600-2000","js","{""1"":[9,-9],""2"":[12.5,-12.5],""3"":[17.5,-17.5],""4"":[23,-23],""5"":[32.5,-32.5],""6"":[46,-46],""7"":[75,-75],""8"":[115,-115],""9"":[185,-185],""10"":[300,-300],""11"":[460,-460],""12"":[750,-750],""13"":[1150,-1150],""14"":[1850,-1850],""15"":[3000,-3000],""16"":[4600,-4600],""17"":[7500,-7500],""18"":[11500,-11500]}"
"2000-2500","js","{""1"":[11,-11],""2"":[15,-15],""3"":[20.5,-20.5],""4"":[27.5,-27.5],""5"":[39,-39],""6"":[55,-55],""7"":[87.5,-87.5],""8"":[140,-140],""9"":[220,-220],""10"":[350,-350],""11"":[550,-550],""12"":[875,-875],""13"":[1400,-1400],""14"":[2200,-2200],""15"":[3500,-3500],""16"":[5500,-5500],""17"":[8750,-8750],""18"":[14000,-14000]}"
"2500-3150","js","{""1"":[13,-13],""2"":[18,-18],""3"":[25,-25],""4"":[34,-34],""5"":[48,-48],""6"":[67.5,-67.5],""7"":[105,-105],""8"":[165,-165],""9"":[270,-270],""10"":[430,-430],""11"":[675,-675],""12"":[1050,-1050],""13"":[1650,-1650],""14"":[2700,-2700],""15"":[4300,-4300],""16"":[6750,-6750],""17"":[10500,-10500],""18"":[16500,-16500]}"
