range_id,deviation_code,grades
"0-3","k","{""3"":[2,0],""4"":[3,0],""5"":[4,0],""6"":[6,0],""7"":[10,0],""8"":[14,0],""9"":[25,0],""10"":[40,0],""11"":[60,0],""12"":[100,0],""13"":[140,0]}"
"3-6","k","{""3"":[2.5,0],""4"":[5,1],""5"":[6,1],""6"":[9,1],""7"":[13,1],""8"":[18,0],""9"":[30,0],""10"":[48,0],""11"":[75,0],""12"":[120,0],""13"":[180,0]}"
"6-10","k","{""3"":[2.5,0],""4"":[5,1],""5"":[7,1],""6"":[10,1],""7"":[16,1],""8"":[22,0],""9"":[36,0],""10"":[58,0],""11"":[90,0],""12"":[150,0],""13"":[220,0]}"
"10-18","k","{""3"":[3,0],""4"":[6,1],""5"":[9,1],""6"":[12,1],""7"":[19,1],""8"":[27,0],""9"":[43,0],""10"":[70,0],""11"":[110,0],""12"":[180,0],""13"":[270,0]}"
"18-30","k","{""3"":[4,0],""4"":[8,2],""5"":[11,2],""6"":[15,2],""7"":[23,2],""8"":[33,0],""9"":[52,0],""10"":[84,0],""11"":[130,0],""12"":[210,0],""13"":[330,0]}"
"30-50","k","{""3"":[4,0],""4"":[9,2],""5"":[13,2],""6"":[18,2],""7"":[27,2],""8"":[39,0],""9"":[62,0],""10"":[100,0],""11"":[160,0],""12"":[250,0],""13"":[390,0]}"
"50-80","k","{""4"":[10,2],""5"":[15,2],""6"":[21,2],""7"":[32,2],""8"":[46,0],""9"":[74,0],""10"":[120,0],""11"":[190,0],""12"":[300,0],""13"":[460,0]}"
"80-120","k","{""4"":[13,3],""5"":[18,3],""6"":[25,3],""7"":[38,3],""8"":[54,0],""9"":[87,0],""10"":[140,0],""11"":[220,0],""12"":[350,0],""13"":[540,0]}"
"120-180","k","{""4"":[15,3],""5"":[21,3],""6"":[28,3],""7"":[43,3],""8"":[63,0],""9"":[100,0],""10"":[160,0],""11"":[250,0],""12"":[400,0],""13"":[630,0]}"
"180-250","k","{""4"":[18,4],""5"":[24,4],""6"":[33,4],""7"":[50,4],""8"":[72,0],""9"":[115,0],""10"":[185,0],""11"":[290,0],""12"":[460,0],""13"":[720,0]}"
"250-315","k","{""4"":[20,4],""5"":[27,4],""6"":[36,4],""7"":[56,4],""8"":[81,0],""9"":[130,0],""10"":[210,0],""11"":[320,0],""12"":[520,0],""13"":[810,0]}"
"315-400","k","{""4"":[22,4],""5"":[29,4],""6"":[40,4],""7"":[61,4],""8"":[89,0],""9"":[140,0],""10"":[230,0],""11"":[360,0],""12"":[570,0],""13"":[890,0]}"
"400-500","k","{""4"":[25,5],""5"":[32,5],""6"":[45,5],""7"":[68,5],""8"":[97,0],""9"":[155,0],""10"":[250,0],""11"":[400,0],""12"":[630,0],""13"":[970,0]}"
"500-630","k","{""6"":[44,0],""7"":[70,0],""8"":[110,0],""9"":[175,0],""10"":[280,0],""11"":[440,0],""12"":[700,0],""13"":[1100,0]}"
"630-800","k","{""6"":[50,0],""7"":[80,0],""8"":[125,0],""9"":[200,0],""10"":[320,0],""11"":[500,0],""12"":[800,0],""13"":[1250,0]}"
"800-1000","k","{""6"":[56,0],""7"":[90,0],""8"":[140,0],""9"":[230,0],""10"":[360,0],""11"":[560,0],""12"":[900,0],""13"":[1400,0]}"
"1000-1250","k","{""6"":[66,0],""7"":[105,0],""8"":[165,0],""9"":[260,0],""10"":[420,0],""11"":[660,0],""12"":[1050,0],""13"":[1650,0]}"
"1250-1600","k","{""6"":[78,0],""7"":[125,0],""8"":[195,0],""9"":[310,0],""10"":[500,0],""11"":[780,0],""12"":[1250,0],""13"":[1950,0]}"
"1600-2000","k","{""6"":[92,0],""7"":[150,0],""8"":[230,0],""9"":[370,0],""10"":[600,0],""11"":[920,0],""12"":[1500,0],""13"":[2300,0]}"
"2000-2500","k","{""6"":[110,0],""7"":[175,0],""8"":[280,0],""9"":[440,0],""10"":[700,0],""11"":[1100,0],""12"":[1750,0],""13"":[2800,0]}"
"2500-3150","k","{""6"":[135,0],""7"":[210,0],""8"":[330,0],""9"":[540,0],""10"":[860,0],""11"":[1350,0],""12"":[2100,0],""13"":[3300,0]}"
