range_id,deviation_code,grades
"0-3","m","{""3"":[4,2],""4"":[5,2],""5"":[6,2],""6"":[8,2],""7"":[12,2],""8"":[16,2],""9"":[27,2]}"
"3-6","m","{""3"":[6.5,4],""4"":[8,4],""5"":[9,4],""6"":[12,4],""7"":[16,4],""8"":[22,4],""9"":[34,4]}"
"6-10","m","{""3"":[8.5,6],""4"":[10,6],""5"":[12,6],""6"":[15,6],""7"":[21,6],""8"":[28,6],""9"":[42,6]}"
"10-18","m","{""3"":[10,7],""4"":[12,7],""5"":[15,7],""6"":[18,7],""7"":[25,7],""8"":[34,7],""9"":[50,7]}"
"18-30","m","{""3"":[12,8],""4"":[14,8],""5"":[17,8],""6"":[21,8],""7"":[29,8],""8"":[41,8],""9"":[60,8]}"
"30-50","m","{""3"":[13,9],""4"":[16,9],""5"":[20,9],""6"":[25,9],""7"":[34,9],""8"":[48,9],""9"":[71,9]}"
"50-80","m","{""4"":[19,11],""5"":[24,11],""6"":[30,11],""7"":[41,11]}"
"80-120","m","{""4"":[23,13],""5"":[29,13],""6":[35,13],""7"":[48,13]}"
"120-180","m","{""4"":[27,15],""5"":[33,15],""6"":[40,15],""7"":[55,15]}"
"180-250","m","{""4"":[31,17],""5"":[37,17],""6"":[46,17],""7"":[63,17]}"
"250-315","m","{""4"":[36,20],""5"":[43,20],""6"":[52,20],""7"":[72,20]}"
"315-400","m","{""4"":[39,21],""5"":[46,21],""6"":[57,21],""7"":[78,21]}"
"400-500","m","{""3"":[43,23],""5"":[50,23],""6"":[63,23],""7"":[86,23]}"
"500-630","m","{""3"":[70,26],""5"":[96,26]}"
"630-800","m","{""6"":[80,30],""7"":[110,30]}"
"800-1000","m","{""6"":[90,34],""7"":[124,34]}"
"1000-1250","m","{""6"":[106,40],""7"":[145,40]}"
"1250-1600","m","{""6"":[126,48],""7"":[173,48]}"
"1600-2000","m","{""6"":[150,58],""7"":[208,58]}"
"2000-2500","m","{""6"":[178,68],""7"":[243,68]}"
"2500-3150","m","{""6"":[211,76],""7"":[286,76]}"
