range_id,deviation_code,grades
"0-3","n","{""3"":[6,4],""4"":[7,4],""5"":[8,4],""6"":[10,4],""7"":[14,4],""8"":[18,4],""9"":[29,4]}"
"3-6","n","{""3"":[10.5,8],""4"":[12,8],""5"":[13,8],""6"":[16,8],""7"":[20,8],""8"":[26,8],""9"":[38,8]}"
"6-10","n","{""3"":[12.5,10],""4"":[14,10],""5"":[16,10],""6"":[19,10],""7"":[25,10],""8"":[32,10],""9"":[46,10]}"
"10-18","n","{""3"":[15,12],""4"":[17,12],""5"":[20,12],""6"":[23,12],""7"":[30,12],""8"":[39,12],""9"":[55,12]}"
"18-30","n","{""3"":[19,15],""4"":[21,15],""5"":[24,15],""6"":[28,15],""7"":[36,15],""8"":[48,15],""9"":[67,15]}"
"30-50","n","{""3"":[21,17],""4"":[24,17],""5"":[28,17],""6"":[33,17],""7"":[42,17],""8"":[56,17],""9"":[79,17]}"
"50-80","n","{""4"":[28,20],""5"":[33,20],""6"":[39,20],""7"":[50,20]}"
"80-120","n","{""4"":[33,23],""5"":[38,23],""6"":[45,23],""7"":[58,23]}"
"120-180","n","{""4"":[39,27],""5"":[45,27],""6"":[52,27],""7"":[67,27]}"
"180-250","n","{""4"":[45,31],""5"":[51,31],""6"":[60,31],""7"":[77,31]}"
"250-315","n","{""4"":[50,34],""5"":[57,34],""6"":[66,34],""7"":[86,34]}"
"315-400","n","{""4"":[55,37],""5"":[62,37],""6"":[73,37],""7"":[94,37]}"
"400-500","n","{""4"":[60,40],""5"":[67,40],""6"":[80,40],""7"":[103,40]}"
"500-630","n","{""6"":[88,44],""7"":[114,44]}"
"630-800","n","{""6"":[100,50],""7"":[130,50]}"
"800-1000","n","{""6"":[112,56],""7"":[146,56]}"
"1000-1250","n","{""6"":[132,66],""7"":[171,66]}"
"1250-1600","n","{""6"":[156,78],""7"":[203,78]}"
"1600-2000","n","{""6"":[184,92],""7"":[242,92]}"
"2000-2500","n","{""6"":[220,110],""7"":[285,110]}"
"2500-3150","n","{""6"":[270,135],""7"":[345,135]}"
