range_id,deviation_code,grades
"0-3","p","{""3"":[8,6],""4"":[9,6],""5"":[10,6],""6"":[12,6],""7"":[16,6],""8"":[20,6],""9"":[31,6],""10"":[46,6]}"
"3-6","p","{""3"":[14.5,12],""4"":[16,12],""5"":[17,12],""6"":[20,12],""7"":[24,12],""8"":[30,12],""9"":[42,12],""10"":[60,12]}"
"6-10","p","{""3"":[17.5,15],""4"":[19,15],""5"":[21,15],""6"":[24,15],""7"":[30,15],""8"":[37,15],""9"":[51,15],""10"":[73,15]}"
"10-18","p","{""3"":[21,18],""4"":[23,18],""5"":[26,18],""6"":[29,18],""7"":[36,18],""8"":[45,18],""9"":[61,18],""10"":[88,18]}"
"18-30","p","{""3"":[26,22],""4"":[28,22],""5"":[31,22],""6"":[35,22],""7"":[43,22],""8"":[55,22],""9"":[74,22],""10"":[106,22]}"
"30-50","p","{""3"":[30,26],""4"":[33,26],""5"":[37,26],""6"":[42,26],""7"":[51,26],""8"":[65,26],""9"":[88,26],""10"":[126,26]}"
"50-80","p","{""4"":[40,32],""5"":[45,32],""6"":[51,32],""7"":[62,32],""8"":[78,32]}"
"80-120","p","{""4"":[47,37],""5"":[52,37],""6"":[59,37],""7"":[72,37],""8"":[91,37]}"
"120-180","p","{""4"":[55,43],""5"":[61,43],""6"":[68,43],""7"":[83,43],""8"":[106,43]}"
"180-250","p","{""4"":[64,50],""5"":[70,50],""6"":[79,50],""7"":[96,50],""8"":[122,50]}"
"250-315","p","{""4"":[72,56],""5"":[79,56],""6"":[88,56],""7"":[108,56],""8"":[137,56]}"
"315-400","p","{""4"":[80,62],""5"":[87,62],""6"":[98,62],""7"":[119,62],""8"":[151,62]}"
"400-500","p","{""4"":[88,68],""5"":[95,68],""6"":[108,68],""7"":[131,68],""8"":[165,68]}"
"500-630","p","{""6"":[122,78],""7"":[148,78],""8"":[188,78]}"
"630-800","p","{""6"":[138,88],""7"":[168,88],""8"":[213,88]}"
"800-1000","p","{""6"":[156,100],""7"":[190,100],""8"":[240,100]}"
"1000-1250","p","{""6"":[186,120],""7"":[225,120],""8"":[285,120]}"
"1250-1600","p","{""6"":[218,140],""7"":[265,140],""8"":[335,140]}"
"1600-2000","p","{""6"":[262,170],""7"":[320,170],""8"":[400,170]}"
"2000-2500","p","{""6"":[305,195],""7"":[370,195],""8"":[475,195]}"
"2500-3150","p","{""6"":[375,240],""7"":[450,240],""8"":[570,240]}"
