range_id,deviation_code,grades
"0-3","r","{""3"":[12,10],""4"":[13,10],""5"":[14,10],""6"":[16,10],""7"":[20,10],""8"":[24,10],""9"":[35,10],""10"":[50,10]}"
"3-6","r","{""3"":[17.5,15],""4"":[19,15],""5"":[20,15],""6"":[23,15],""7"":[27,15],""8"":[33,15],""9"":[45,15],""10"":[63,15]}"
"6-10","r","{""3"":[21.5,19],""4"":[23,19],""5"":[25,19],""6"":[28,19],""7"":[34,19],""8"":[41,19],""9"":[55,19],""10"":[77,19]}"
"10-18","r","{""3"":[26,23],""4"":[28,23],""5"":[31,23],""6"":[34,23],""7"":[41,23],""8"":[50,23],""9"":[66,23],""10"":[93,23]}"
"18-30","r","{""3"":[32,28],""4"":[34,28],""5"":[37,28],""6"":[41,28],""7"":[49,28],""8"":[61,28],""9"":[80,28],""10"":[112,28]}"
"30-50","r","{""3"":[38,34],""4"":[41,34],""5"":[45,34],""6"":[50,34],""7"":[59,34],""8"":[73,34],""9"":[96,34],""10"":[134,34]}"
"50-65","r","{""4"":[49,41],""5"":[54,41],""6"":[60,41],""7"":[71,41],""8"":[87,41]}"
"65-80","r","{""4"":[51,43],""5"":[56,43],""6"":[62,43],""7"":[73,43],""8"":[89,43]}"
"80-100","r","{""4"":[61,51],""5"":[66,51],""6"":[73,51],""7"":[86,51],""8"":[105,51]}"
"100-120","r","{""4"":[64,54],""5"":[69,54],""6"":[76,54],""7"":[89,54],""8"":[108,54]}"
"120-140","r","{""4"":[75,63],""5"":[81,63],""6"":[88,63],""7"":[103,63],""8"":[126,63]}"
"140-160","r","{""4"":[77,65],""5"":[83,65],""6"":[90,65],""7"":[105,65],""8"":[128,65]}"
"160-180","r","{""4"":[80,68],""5"":[86,68],""6"":[93,68],""7"":[108,68],""8"":[131,68]}"
"180-200","r","{""4"":[91,77],""5"":[97,77],""6"":[106,77],""7"":[123,77],""8"":[149,77]}"
"200-225","r","{""4"":[94,80],""5"":[100,80],""6"":[109,80],""7"":[126,80],""8"":[152,80]}"
"225-250","r","{""4"":[98,84],""5"":[104,84],""6"":[113,84],""7"":[130,84],""8"":[156,84]}"
"250-280","r","{""4"":[110,94],""5"":[117,94],""6"":[126,94],""7"":[146,94],""8"":[175,94]}"
"280-315","r","{""4"":[114,98],""5"":[121,98],""6"":[130,98],""7"":[150,98],""8"":[179,98]}"
"315-355","r","{""4"":[126,108],""5"":[133,108],""6"":[144,108],""7"":[165,108],""8"":[197,108]}"
"355-400","r","{""4"":[132,114],""5"":[139,114],""6"":[150,114],""7"":[171,114],""8"":[203,114]}"
"400-450","r","{""4"":[146,126],""5"":[153,126],""6"":[166,126],""7"":[189,126],""8"":[223,126]}"
"450-500","r","{""4"":[152,132],""5"":[159,132],""6"":[172,132],""7"":[195,132],""8"":[229,132]}"
"500-560","r","{""6"":[194,150],""7"":[220,150],""8"":[260,150]}"
"560-630","r","{""6"":[199,155],""7"":[225,155],""8"":[265,155]}"
"630-710","r","{""6"":[225,175],""7"":[255,175],""8"":[300,175]}"
"710-800","r","{""6"":[235,185],""7"":[265,185],""8"":[310,185]}"
"800-900","r","{""6"":[266,210],""7"":[300,210],""8"":[350,210]}"
"900-1000","r","{""6"":[276,220],""7"":[310,220],""8"":[360,220]}"
"1000-1120","r","{""6"":[316,250],""7"":[365,250],""8"":[415,250]}"
"1120-1250","r","{""6"":[326,260],""7"":[365,260],""8"":[425,260]}"
"1250-1400","r","{""6"":[378,300],""7"":[425,300],""8"":[495,300]}"
"1400-1600","r","{""6"":[408,330],""7"":[455,330],""8"":[525,330]}"
"1600-1800","r","{""6"":[462,370],""7"":[520,370],""8"":[600,370]}"
"1800-2000","r","{""6"":[492,400],""7"":[550,400],""8"":[630,400]}"
"2000-2240","r","{""6"":[550,440],""7"":[615,440],""8"":[720,440]}"
"2240-2500","r","{""6"":[570,460],""7"":[635,460],""8"":[740,460]}"
"2500-2800","r","{""6"":[685,550],""7"":[760,550],""8"":[880,550]}"
"2800-3150","r","{""6"":[715,580],""7"":[790,580],""8"":[910,580]}"
