range_id,deviation_code,grades
"0-3","s","{""3"":[16,14],""4"":[17,14],""5"":[18,14],""6"":[20,14],""7"":[24,14],""8"":[28,14],""9"":[39,14],""10"":[54,14]}"
"3-6","s","{""3"":[21.5,19],""4"":[23,19],""5"":[24,19],""6"":[27,19],""7"":[31,19],""8"":[37,19],""9"":[49,19],""10"":[67,19]}"
"6-10","s","{""3"":[25.5,23],""4"":[27,23],""5"":[29,23],""6"":[32,23],""7"":[38,23],""8"":[45,23],""9"":[59,23],""10"":[81,23]}"
"10-18","s","{""3"":[31,28],""4"":[33,28],""5"":[36,28],""6"":[39,28],""7"":[46,28],""8"":[55,28],""9"":[71,28],""10"":[98,28]}"
"18-30","s","{""3"":[39,35],""4"":[41,35],""5"":[44,35],""6"":[48,35],""7"":[56,35],""8"":[68,35],""9"":[87,35],""10"":[119,35]}"
"30-50","s","{""3"":[47,43],""4"":[50,43],""5"":[54,43],""6"":[59,43],""7"":[68,43],""8"":[82,43],""9"":[105,43],""10"":[143,43]}"
"50-65","s","{""4"":[61,53],""5"":[66,53],""6"":[72,53],""7"":[83,53],""8"":[99,53],""9"":[127,53]}"
"65-80","s","{""4"":[67,59],""5"":[72,59],""6"":[78,59],""7"":[89,59],""8"":[105,59],""9"":[133,59]}"
"80-100","s","{""4"":[81,71],""5"":[86,71],""6"":[93,71],""7"":[106,71],""8"":[125,71],""9"":[158,71]}"
"100-120","s","{""4"":[89,79],""5"":[94,79],""6"":[101,79],""7"":[114,79],""8"":[133,79],""9"":[166,79]}"
"120-140","s","{""4"":[104,92],""5"":[110,92],""6"":[117,92],""7"":[132,92],""8"":[155,92],""9"":[192,92]}"
"140-160","s","{""4"":[112,100],""5"":[118,100],""6"":[125,100],""7"":[140,100],""8"":[163,100],""9"":[200,100]}"
"160-180","s","{""4"":[120,108],""5"":[126,108],""6"":[133,108],""7"":[148,108],""8"":[171,108],""9"":[208,108]}"
"180-200","s","{""4"":[136,122],""5"":[142,122],""6"":[151,122],""7"":[168,122],""8"":[194,122],""9"":[237,122]}"
"200-225","s","{""4"":[144,130],""5"":[150,130],""6"":[159,130],""7"":[176,130],""8"":[202,130],""9"":[245,130]}"
"225-250","s","{""4"":[154,140],""5"":[160,140],""6"":[169,140],""7"":[186,140],""8"":[212,140],""9"":[255,140]}"
"250-280","s","{""4"":[174,158],""5"":[181,158],""6"":[190,158],""7"":[210,158],""8"":[239,158],""9"":[288,158]}"
"280-315","s","{""4"":[186,170],""5"":[193,170],""6"":[202,170],""7"":[222,170],""8"":[251,170],""9"":[300,170]}"
"315-355","s","{""4"":[208,190],""5"":[215,190],""6"":[226,190],""7"":[247,190],""8"":[279,190],""9"":[330,190]}"
"355-400","s","{""4"":[226,208],""5"":[233,208],""6"":[244,208],""7"":[265,208],""8"":[297,208],""9"":[348,208]}"
"400-450","s","{""4"":[252,232],""5"":[259,232],""6"":[272,232],""7"":[295,232],""8"":[329,232],""9"":[387,232]}"
"450-500","s","{""4"":[272,252],""5"":[279,252],""6"":[292,252],""7"":[315,252],""8"":[349,252],""9"":[407,252]}"
"500-560","s","{""6"":[324,280],""7"":[350,280],""8"":[390,280]}"
"560-630","s","{""6"":[354,310],""7"":[380,310],""8"":[420,310]}"
"630-710","s","{""6"":[390,340],""7"":[420,340],""8"":[465,340]}"
"710-800","s","{""6"":[430,380],""7"":[460,380],""8"":[505,380]}"
"800-900","s","{""6"":[486,420],""7"":[520,420],""8"":[570,420]}"
"900-1000","s","{""6"":[526,470],""7"":[560,470],""8"":[610,470]}"
"1000-1120","s","{""6"":[586,520],""7"":[625,520],""8"":[685,520]}"
"1120-1250","s","{""6"":[646,580],""7"":[685,580],""8"":[745,580]}"
"1250-1400","s","{""6"":[718,640],""7"":[765,640],""8"":[835,640]}"
"1400-1600","s","{""6"":[798,720],""7"":[845,720],""8"":[915,720]}"
"1600-1800","s","{""6"":[912,820],""7"":[970,820],""8"":[1050,820]}"
"1800-2000","s","{""6"":[1012,920],""7"":[1070,920],""8"":[1150,920]}"
"2000-2240","s","{""6"":[1110,1000],""7"":[1175,1000],""8"":[1280,1000]}"
"2240-2500","s","{""6"":[1210,1100],""7"":[1275,1100],""8"":[1380,1100]}"
"2500-2800","s","{""6"":[1385,1250],""7"":[1460,1250],""8"":[1580,1250]}"
"2800-3150","s","{""6"":[1535,1400],""7"":[1610,1400],""8"":[1730,1400]}"
