range_id,deviation_code,grades
"24-30","t","{""5"":[50,41],""6"":[54,41],""7"":[62,41],""8"":[74,41]}"
"30-40","t","{""5"":[59,48],""6"":[64,48],""7"":[73,48],""8"":[87,48]}"
"40-50","t","{""5"":[65,54],""6"":[70,54],""7"":[79,54],""8"":[93,54]}"
"50-65","t","{""5"":[79,66],""6"":[85,66],""7"":[96,66],""8"":[112,66]}"
"65-80","t","{""5"":[88,75],""6"":[94,75],""7"":[105,75],""8"":[121,75]}"
"80-100","t","{""5"":[106,91],""6"":[113,91],""7"":[126,91],""8"":[145,91]}"
"100-120","t","{""5"":[119,104],""6"":[126,104],""7"":[139,104],""8"":[158,104]}"
"120-140","t","{""5"":[140,122],""6"":[147,122],""7"":[162,122],""8"":[185,122]}"
"140-160","t","{""5"":[152,134],""6"":[159,134],""7"":[174,134],""8"":[197,134]}"
"160-180","t","{""5"":[164,146],""6"":[171,146],""7"":[186,146],""8"":[209,146]}"
"180-200","t","{""5"":[186,166],""6"":[195,166],""7"":[212,166],""8"":[238,166]}"
"200-225","t","{""5"":[200,180],""6"":[209,180],""7"":[226,180],""8"":[252,180]}"
"225-250","t","{""5"":[216,196],""6"":[225,196],""7"":[242,196],""8"":[268,196]}"
"250-280","t","{""5"":[241,218],""6"":[250,218],""7"":[270,218],""8"":[299,218]}"
"280-315","t","{""5"":[263,240],""6"":[272,240],""7"":[292,240],""8"":[321,240]}"
"315-355","t","{""5"":[293,268],""6"":[304,268],""7"":[325,268],""8"":[357,268]}"
"355-400","t","{""5"":[319,294],""6"":[330,294],""7"":[351,294],""8"":[383,294]}"
"400-450","t","{""5"":[357,330],""6"":[370,330],""7"":[393,330],""8"":[427,330]}"
"450-500","t","{""5"":[387,360],""6"":[400,360],""7"":[423,360],""8"":[457,360]}"
"500-560","t","{""6"":[444,400],""7"":[470,400]}"
"560-630","t","{""6"":[494,450],""7"":[520,450]}"
"630-710","t","{""6"":[550,500],""7"":[580,500]}"
"710-800","t","{""6"":[610,560],""7"":[640,560]}"
"800-900","t","{""6"":[676,620],""7"":[710,620]}"
"900-1000","t","{""6"":[736,680],""7"":[770,680]}"
"1000-1120","t","{""6"":[846,780],""7"":[885,780]}"
"1120-1250","t","{""6"":[906,840],""7"":[945,840]}"
"1250-1400","t","{""6"":[1038,960],""7"":[1085,960]}"
"1400-1600","t","{""6"":[1128,1050],""7"":[1175,1050]}"
"1600-1800","t","{""6"":[1292,1200],""7"":[1350,1200]}"
"1800-2000","t","{""6"":[1442,1350],""7"":[1500,1350]}"
"2000-2240","t","{""6"":[1610,1500],""7"":[1675,1500]}"
"2240-2500","t","{""6"":[1760,1650],""7"":[1825,1650]}"
"2500-2800","t","{""6"":[2035,1900],""7"":[2110,1900]}"
"2800-3150","t","{""6"":[2235,2100],""7"":[2310,2100]}"
