range_id,deviation_code,grades
"0-3","u","{""5"":[22,18],""6"":[24,18],""7"":[28,18],""8"":[32,18],""9"":[43,18]}"
"3-6","u","{""5"":[28,23],""6"":[31,23],""7"":[35,23],""8"":[41,23],""9"":[53,23]}"
"6-10","u","{""5"":[34,28],""6"":[37,28],""7"":[43,28],""8"":[50,28],""9"":[64,28]}"
"10-18","u","{""5"":[41,33],""6"":[44,33],""7"":[51,33],""8"":[60,33],""9"":[76,33]}"
"18-24","u","{""5"":[50,41],""6"":[54,41],""7"":[62,41],""8"":[74,41],""9"":[93,41]}"
"24-30","u","{""5"":[57,48],""6"":[61,48],""7"":[69,48],""8"":[81,48],""9"":[100,48]}"
"30-40","u","{""5"":[71,60],""6"":[76,60],""7"":[85,60],""8"":[99,60],""9"":[122,60]}"
"40-50","u","{""5"":[81,70],""6"":[86,70],""7"":[95,70],""8"":[109,70],""9"":[132,70]}"
"50-65","u","{""5"":[100,87],""6"":[106,87],""7"":[117,87],""8"":[133,87],""9"":[161,87]}"
"65-80","u","{""5"":[115,102],""6"":[121,102],""7"":[132,102],""8"":[148,102],""9"":[176,102]}"
"80-100","u","{""5"":[139,124],""6"":[146,124],""7"":[159,124],""8"":[178,124],""9"":[211,124]}"
"100-120","u","{""5"":[159,144],""6"":[166,144],""7"":[179,144],""8"":[198,144],""9"":[231,144]}"
"120-140","u","{""5"":[188,170],""6"":[195,170],""7"":[210,170],""8"":[233,170],""9"":[270,170]}"
"140-160","u","{""5"":[208,190],""6"":[215,190],""7"":[230,190],""8"":[253,190],""9"":[290,190]}"
"160-180","u","{""5"":[228,210],""6"":[235,210],""7"":[250,210],""8"":[273,210],""9"":[310,210]}"
"180-200","u","{""5"":[256,236],""6"":[265,236],""7"":[282,236],""8"":[308,236],""9"":[351,236]}"
"200-225","u","{""5"":[278,258],""6"":[287,258],""7"":[304,258],""8"":[330,258],""9"":[373,258]}"
"225-250","u","{""5"":[304,284],""6"":[313,284],""7"":[330,284],""8"":[356,284],""9"":[399,284]}"
"250-280","u","{""5"":[338,315],""6"":[347,315],""7"":[367,315],""8"":[396,315],""9"":[445,315]}"
"280-315","u","{""5"":[373,350],""6"":[382,350],""7"":[402,350],""8"":[431,350],""9"":[480,350]}"
"315-355","u","{""5"":[415,390],""6"":[426,390],""7"":[447,390],""8"":[479,390],""9"":[530,390]}"
"355-400","u","{""5"":[460,435],""6"":[471,435],""7"":[492,435],""8"":[524,435],""9"":[575,435]}"
"400-450","u","{""5"":[517,490],""6"":[530,490],""7"":[553,490],""8"":[587,490],""9"":[645,490]}"
"450-500","u","{""5"":[567,540],""6"":[580,540],""7"":[603,540],""8"":[637,540],""9"":[695,540]}"
"500-560","u","{""6"":[644,600],""7"":[670,600],""8"":[710,600]}"
"560-630","u","{""6"":[704,660],""7"":[730,660],""8"":[770,660]}"
"630-710","u","{""6"":[790,740],""7"":[820,740],""8"":[865,740]}"
"710-800","u","{""6"":[890,840],""7"":[920,840],""8"":[965,840]}"
"800-900","u","{""6"":[996,940],""7"":[1030,940],""8"":[1080,940]}"
"900-1000","u","{""6"":[1106,1050],""7"":[1140,1050],""8"":[1190,1050]}"
"1000-1120","u","{""6"":[1216,1150],""7"":[1255,1150],""8"":[1315,1150]}"
"1120-1250","u","{""6"":[1366,1300],""7"":[1405,1300],""8"":[1465,1300]}"
"1250-1400","u","{""6"":[1528,1450],""7"":[1575,1450],""8"":[1645,1450]}"
"1400-1600","u","{""6"":[1678,1600],""7"":[1725,1600],""8"":[1795,1600]}"
"1600-1800","u","{""6"":[1942,1850],""7"":[2000,1850],""8"":[2080,1850]}"
"1800-2000","u","{""6"":[2092,2000],""7"":[2150,2000],""8"":[2230,2000]}"
"2000-2240","u","{""6"":[2410,2300],""7"":[2475,2300],""8"":[2580,2300]}"
"2240-2500","u","{""6"":[2610,2500],""7"":[2675,2500],""8"":[2780,2500]}"
"2500-2800","u","{""6"":[3035,2900],""7"":[3110,2900],""8"":[3230,2900]}"
"2800-3150","u","{""6"":[3335,3200],""7"":[3410,3200],""8"":[3530,3200]}"
