range_id,deviation_code,grades
"14-18","v","{""5"":[47,39],""6"":[50,39],""7"":[57,39],""8"":[66,39]}"
"18-24","v","{""5"":[56,47],""6"":[60,47],""7"":[68,47],""8"":[80,47]}"
"24-30","v","{""5"":[64,55],""6"":[68,55],""7"":[76,55],""8"":[88,55]}"
"30-40","v","{""5"":[79,68],""6"":[84,68],""7"":[93,68],""8"":[107,68]}"
"40-50","v","{""5"":[92,81],""6"":[97,81],""7"":[106,81],""8"":[120,81]}"
"50-65","v","{""5"":[115,102],""6"":[121,102],""7"":[132,102],""8"":[148,102]}"
"65-80","v","{""5"":[133,120],""6"":[139,120],""7"":[150,120],""8"":[166,120]}"
"80-100","v","{""5"":[161,146],""6"":[168,146],""7"":[181,146],""8"":[200,146]}"
"100-120","v","{""5"":[187,172],""6"":[194,172],""7"":[207,172],""8"":[226,172]}"
"120-140","v","{""5"":[220,202],""6"":[227,202],""7"":[242,202],""8"":[265,202]}"
"140-160","v","{""5"":[246,228],""6"":[253,228],""7"":[268,228],""8"":[291,228]}"
"160-180","v","{""5"":[270,252],""6"":[277,252],""7"":[292,252],""8"":[315,252]}"
"180-200","v","{""5"":[304,284],""6"":[313,284],""7"":[330,284],""8"":[356,284]}"
"200-225","v","{""5"":[330,310],""6"":[339,310],""7"":[356,310],""8"":[382,310]}"
"225-250","v","{""5"":[360,340],""6"":[369,340],""7"":[386,340],""8"":[412,340]}"
"250-280","v","{""5"":[408,385],""6"":[417,385],""7"":[437,385],""8"":[466,385]}"
"280-315","v","{""5"":[448,425],""6"":[457,425],""7"":[477,425],""8"":[506,425]}"
"315-355","v","{""5"":[500,475],""6"":[511,475],""7"":[532,475],""8"":[564,475]}"
"355-400","v","{""5"":[555,530],""6"":[566,530],""7"":[587,530],""8"":[619,530]}"
"400-450","v","{""5"":[622,595],""6"":[635,595],""7"":[658,595],""8"":[692,595]}"
"450-500","v","{""5"":[687,660],""6"":[700,660],""7"":[723,660],""8"":[757,660]}"
