range_id,deviation_code,grades
"0-3","x","{""5"":[24,20],""6"":[26,20],""7"":[30,20],""8"":[34,20],""9"":[45,20],""10"":[60,20]}"
"3-6","x","{""5"":[33,28],""6"":[36,28],""7"":[40,28],""8"":[46,28],""9"":[58,28],""10"":[76,28]}"
"6-10","x","{""5"":[40,34],""6"":[43,34],""7"":[49,34],""8"":[56,34],""9"":[70,34],""10"":[92,34]}"
"10-14","x","{""5"":[48,40],""6"":[51,40],""7"":[58,40],""8"":[67,40],""9"":[83,40],""10"":[110,40]}"
"14-18","x","{""5"":[53,45],""6"":[56,45],""7"":[63,45],""8"":[72,45],""9"":[88,45],""10"":[115,45]}"
"18-24","x","{""5"":[63,54],""6"":[67,54],""7"":[75,54],""8"":[87,54],""9"":[106,54],""10"":[138,54]}"
"24-30","x","{""5"":[73,64],""6"":[77,64],""7"":[85,64],""8"":[97,64],""9"":[116,64],""10"":[148,64]}"
"30-40","x","{""5"":[91,80],""6"":[96,80],""7"":[105,80],""8"":[119,80],""9"":[142,80],""10"":[180,80]}"
"40-50","x","{""5"":[108,97],""6"":[113,97],""7"":[122,97],""8"":[136,97],""9"":[159,97],""10"":[197,97]}"
"50-65","x","{""5"":[135,122],""6"":[141,122],""7"":[152,122],""8"":[168,122],""9"":[196,122],""10"":[242,122]}"
"65-80","x","{""5"":[159,146],""6"":[165,146],""7"":[176,146],""8"":[192,146],""9"":[220,146],""10"":[266,146]}"
"80-100","x","{""5"":[193,178],""6"":[200,178],""7"":[213,178],""8"":[232,178],""9"":[265,178],""10"":[318,178]}"
"100-120","x","{""5"":[225,210],""6"":[232,210],""7"":[245,210],""8"":[264,210],""9"":[297,210],""10"":[350,210]}"
"120-140","x","{""5"":[266,248],""6"":[273,248],""7"":[288,248],""8"":[311,248],""9"":[348,248],""10"":[408,248]}"
"140-160","x","{""5"":[298,280],""6"":[305,280],""7"":[320,280],""8"":[343,280],""9"":[380,280],""10"":[440,280]}"
"160-180","x","{""5"":[328,310],""6"":[335,310],""7"":[350,310],""8"":[373,310],""9"":[410,310],""10"":[470,310]}"
"180-200","x","{""5"":[370,350],""6"":[379,350],""7"":[396,350],""8"":[422,350],""9"":[465,350],""10"":[535,350]}"
"200-225","x","{""5"":[405,385],""6"":[414,385],""7"":[431,385],""8"":[457,385],""9"":[500,385],""10"":[570,385]}"
"225-250","x","{""5"":[445,425],""6"":[454,425],""7"":[471,425],""8"":[497,425],""9"":[540,425],""10"":[610,425]}"
"250-280","x","{""5"":[498,475],""6"":[507,475],""7"":[527,475],""8"":[556,475],""9"":[605,475],""10"":[685,475]}"
"280-315","x","{""5"":[548,525],""6"":[557,525],""7"":[577,525],""8"":[606,525],""9"":[655,525],""10"":[735,525]}"
"315-355","x","{""5"":[615,590],""6"":[626,590],""7"":[647,590],""8"":[679,590],""9"":[730,590],""10"":[820,590]}"
"355-400","x","{""5"":[685,660],""6"":[696,660],""7"":[717,660],""8"":[749,660],""9"":[800,660],""10"":[890,660]}"
"400-450","x","{""5"":[767,740],""6"":[780,740],""7"":[803,740],""8"":[837,740],""9"":[895,740],""10"":[990,740]}"
"450-500","x","{""5"":[847,820],""6"":[860,820],""7"":[883,820],""8"":[917,820],""9"":[975,820],""10"":[1070,820]}"
