range_id,deviation_code,grades
"18-24","y","{""6"":[76,63],""7"":[84,63],""8"":[96,63],""9"":[115,63],""10"":[147,63]}"
"24-30","y","{""6"":[88,75],""7"":[96,75],""8"":[108,75],""9"":[127,75],""10"":[159,75]}"
"30-40","y","{""6"":[110,94],""7"":[119,94],""8"":[133,94],""9"":[156,94],""10"":[194,94]}"
"40-50","y","{""6"":[130,114],""7"":[139,114],""8"":[153,114],""9"":[176,114],""10"":[214,114]}"
"50-65","y","{""6"":[163,144],""7"":[174,144],""8"":[190,144]}"
"65-80","y","{""6"":[193,174],""7"":[204,174],""8"":[220,174]}"
"80-100","y","{""6"":[236,214],""7"":[249,214],""8"":[268,214]}"
"100-120","y","{""6"":[276,254],""7"":[289,254],""8"":[308,254]}"
"120-140","y","{""6"":[325,300],""7"":[340,300],""8"":[363,300]}"
"140-160","y","{""6"":[365,340],""7"":[380,340],""8"":[403,340]}"
"160-180","y","{""6"":[405,380],""7"":[420,380],""8"":[443,380]}"
"180-200","y","{""6"":[454,425],""7"":[471,425],""8"":[497,425]}"
"200-225","y","{""6"":[499,470],""7"":[516,470],""8"":[542,470]}"
"225-250","y","{""6"":[549,520],""7"":[566,520],""8"":[592,520]}"
"250-280","y","{""6"":[612,580],""7"":[632,580],""8"":[661,580]}"
"280-315","y","{""6"":[682,650],""7"":[702,650],""8"":[731,650]}"
"315-355","y","{""6"":[766,730],""7"":[787,730],""8"":[819,730]}"
"355-400","y","{""6"":[856,820],""7"":[877,820],""8"":[909,820]}"
"400-450","y","{""6"":[960,920],""7"":[983,920],""8"":[1017,920]}"
"450-500","y","{""6"":[1040,1000],""7"":[1063,1000],""8"":[1097,1000]}"
