range_id,deviation_code,grades
"0-3","z","{""6"":[32,26],""7"":[36,26],""8"":[40,26],""9"":[51,26],""10"":[66,26],""11"":[86,26]}"
"3-6","z","{""6"":[43,35],""7"":[47,35],""8"":[53,35],""9"":[65,35],""10"":[83,35],""11"":[110,35]}"
"6-10","z","{""6"":[51,42],""7"":[57,42],""8"":[64,42],""9"":[78,42],""10"":[100,42],""11"":[132,42]}"
"10-14","z","{""6"":[61,50],""7"":[68,50],""8"":[77,50],""9"":[93,50],""10"":[120,50],""11"":[160,50]}"
"14-18","z","{""6"":[71,60],""7"":[78,60],""8"":[87,60],""9"":[103,60],""10"":[130,60],""11"":[170,60]}"
"18-24","z","{""6"":[86,73],""7"":[94,73],""8"":[106,73],""9"":[125,73],""10"":[157,73],""11"":[203,73]}"
"24-30","z","{""6"":[101,88],""7"":[109,88],""8"":[121,88],""9"":[140,88],""10"":[172,88],""11"":[218,88]}"
"30-40","z","{""6"":[128,112],""7"":[137,112],""8"":[151,112],""9"":[174,112],""10"":[212,112],""11"":[272,112]}"
"40-50","z","{""6"":[152,136],""7"":[161,136],""8"":[175,136],""9"":[198,136],""10"":[236,136],""11"":[296,136]}"
"50-65","z","{""6"":[191,172],""7"":[202,172],""8"":[218,172],""9"":[246,172],""10"":[292,172],""11"":[362,172]}"
"65-80","z","{""6"":[229,210],""7"":[240,210],""8"":[256,210],""9"":[284,210],""10"":[330,210],""11"":[400,210]}"
"80-100","z","{""6"":[280,258],""7"":[293,258],""8"":[312,258],""9"":[345,258],""10"":[398,258],""11"":[478,258]}"
"100-120","z","{""6"":[332,310],""7"":[345,310],""8"":[364,310],""9"":[397,310],""10"":[450,310],""11"":[530,310]}"
"120-140","z","{""6"":[390,365],""7"":[405,365],""8"":[428,365],""9"":[465,365],""10"":[525,365],""11"":[615,365]}"
"140-160","z","{""6"":[440,415],""7"":[455,415],""8"":[478,415],""9"":[515,415],""10"":[575,415],""11"":[665,415]}"
"160-180","z","{""6"":[490,465],""7"":[505,465],""8"":[528,465],""9"":[565,465],""10"":[625,465],""11"":[715,465]}"
"180-200","z","{""6"":[549,520],""7"":[566,520],""8"":[592,520],""9"":[635,520],""10"":[705,520],""11"":[810,520]}"
"200-225","z","{""6"":[604,575],""7"":[621,575],""8"":[647,575],""9"":[690,575],""10"":[760,575],""11"":[865,575]}"
"225-250","z","{""6"":[669,640],""7"":[686,640],""8"":[712,640],""9"":[755,640],""10"":[825,640],""11"":[930,640]}"
"250-280","z","{""6"":[742,710],""7"":[762,710],""8"":[791,710],""9"":[840,710],""10"":[920,710],""11"":[1030,710]}"
"280-315","z","{""6"":[822,790],""7"":[842,790],""8"":[871,790],""9"":[920,790],""10"":[1000,790],""11"":[1110,790]}"
"315-355","z","{""6"":[936,900],""7"":[957,900],""8"":[989,900],""9"":[1040,900],""10"":[1130,900],""11"":[1260,900]}"
"355-400","z","{""6"":[1036,1000],""7"":[1057,1000],""8"":[1089,1000],""9"":[1140,1000],""10"":[1230,1000],""11"":[1360,1000]}"
"400-450","z","{""6"":[1140,1100],""7"":[1163,1100],""8"":[1197,1100],""9"":[1255,1100],""10"":[1350,1100],""11"":[1500,1100]}"
"450-500","z","{""6"":[1290,1250],""7"":[1313,1250],""8"":[1347,1250],""9"":[1405,1250],""10"":[1500,1250],""11"":[1650,1250]}"
