range_id,deviation_code,grades
"0-3","za","{""6"":[38,32],""7"":[42,32],""8"":[46,32],""9"":[57,32],""10"":[72,32],""11"":[92,32]}"
"3-6","za","{""6"":[50,42],""7"":[54,42],""8"":[60,42],""9"":[72,42],""10"":[90,42],""11"":[117,42]}"
"6-10","za","{""6"":[61,52],""7"":[67,52],""8"":[74,52],""9"":[88,52],""10"":[110,52],""11"":[142,52]}"
"10-14","za","{""6"":[75,64],""7"":[82,64],""8"":[91,64],""9"":[107,64],""10"":[134,64],""11"":[174,64]}"
"14-18","za","{""6"":[88,77],""7"":[95,77],""8"":[104,77],""9"":[120,77],""10"":[147,77],""11"":[187,77]}"
"18-24","za","{""6"":[111,98],""7"":[119,98],""8"":[131,98],""9"":[150,98],""10"":[182,98],""11"":[228,98]}"
"24-30","za","{""6"":[131,118],""7"":[139,118],""8"":[151,118],""9"":[170,118],""10"":[202,118],""11"":[248,118]}"
"30-40","za","{""6"":[164,148],""7"":[173,148],""8"":[187,148],""9"":[210,148],""10"":[248,148],""11"":[308,148]}"
"40-50","za","{""6"":[196,180],""7"":[205,180],""8"":[219,180],""9"":[242,180],""10"":[280,180],""11"":[340,180]}"
"50-65","za","{""6"":[245,226],""7"":[256,226],""8"":[272,226],""9"":[300,226],""10"":[346,226],""11"":[416,226]}"
"65-80","za","{""6"":[293,274],""7"":[304,274],""8"":[320,274],""9"":[348,274],""10"":[394,274],""11"":[464,274]}"
"80-100","za","{""6"":[357,335],""7"":[370,335],""8"":[389,335],""9"":[422,335],""10"":[475,335],""11"":[555,335]}"
"100-120","za","{""6"":[422,400],""7"":[435,400],""8"":[454,400],""9"":[487,400],""10"":[540,400],""11"":[620,400]}"
"120-140","za","{""6"":[495,470],""7"":[510,470],""8"":[533,470],""9"":[570,470],""10"":[630,470],""11"":[720,470]}"
"140-160","za","{""6"":[560,535],""7"":[575,535],""8"":[598,535],""9"":[635,535],""10"":[695,535],""11"":[785,535]}"
"160-180","za","{""6"":[625,600],""7"":[640,600],""8"":[663,600],""9"":[700,600],""10"":[760,600],""11"":[850,600]}"
"180-200","za","{""6"":[699,670],""7"":[716,670],""8"":[742,670],""9"":[785,670],""10"":[855,670],""11"":[960,670]}"
"200-225","za","{""6"":[769,740],""7"":[786,740],""8"":[812,740],""9"":[855,740],""10"":[925,740],""11"":[1030,740]}"
"225-250","za","{""6"":[849,820],""7"":[866,820],""8"":[892,820],""9"":[935,820],""10"":[1005,820],""11"":[1110,820]}"
"250-280","za","{""6"":[952,920],""7"":[972,920],""8"":[1001,920],""9"":[1050,920],""10"":[1130,920],""11"":[1240,920]}"
"280-315","za","{""6"":[1032,1000],""7"":[1052,1000],""8"":[1081,1000],""9"":[1130,1000],""10"":[1210,1000],""11"":[1320,1000]}"
"315-355","za","{""6"":[1186,1150],""7"":[1207,1150],""8"":[1239,1150],""9"":[1290,1150],""10"":[1380,1150],""11"":[1510,1150]}"
"355-400","za","{""6"":[1336,1300],""7"":[1357,1300],""8"":[1389,1300],""9"":[1440,1300],""10"":[1530,1300],""11"":[1660,1300]}"
"400-450","za","{""6"":[1490,1450],""7"":[1513,1450],""8"":[1547,1450],""9"":[1605,1450],""10"":[1700,1450],""11"":[1850,1450]}"
"450-500","za","{""6"":[1640,1600],""7"":[1663,1600],""8"":[1697,1600],""9"":[1755,1600],""10"":[1850,1600],""11"":[2000,1600]}"
