range_id,deviation_code,grades
"0-3","zb","{""7"":[50,40],""8"":[54,40],""9"":[65,40],""10"":[80,40],""11"":[100,40]}"
"3-6","zb","{""7"":[62,50],""8"":[68,50],""9"":[80,50],""10"":[98,50],""11"":[125,50]}"
"6-10","zb","{""7"":[82,67],""8"":[89,67],""9"":[103,67],""10"":[125,67],""11"":[157,67]}"
"10-14","zb","{""7"":[108,90],""8"":[117,90],""9"":[133,90],""10"":[160,90],""11"":[200,90]}"
"14-18","zb","{""7"":[126,108],""8"":[135,108],""9"":[151,108],""10"":[178,108],""11"":[218,108]}"
"18-24","zb","{""7"":[157,136],""8"":[169,136],""9"":[188,136],""10"":[220,136],""11"":[266,136]}"
"24-30","zb","{""7"":[181,160],""8"":[193,160],""9"":[212,160],""10"":[244,160],""11"":[290,160]}"
"30-40","zb","{""7"":[225,200],""8"":[239,200],""9"":[262,200],""10"":[300,200],""11"":[360,200]}"
"40-50","zb","{""7"":[267,242],""8"":[281,242],""9"":[304,242],""10"":[342,242],""11"":[402,242]}"
"50-65","zb","{""7"":[330,300],""8"":[346,300],""9"":[374,300],""10"":[420,300],""11"":[490,300]}"
"65-80","zb","{""7"":[390,360],""8"":[406,360],""9"":[434,360],""10"":[480,360],""11"":[550,360]}"
"80-100","zb","{""7"":[480,445],""8"":[499,445],""9"":[532,445],""10"":[585,445],""11"":[665,445]}"
"100-120","zb","{""7"":[560,525],""8"":[579,525],""9"":[612,525],""10"":[665,525],""11"":[745,525]}"
"120-140","zb","{""7"":[660,620],""8"":[683,620],""9"":[720,620],""10"":[780,620],""11"":[870,620]}"
"140-160","zb","{""7"":[740,700],""8"":[763,700],""9"":[800,700],""10"":[860,700],""11"":[950,700]}"
"160-180","zb","{""7"":[820,780],""8"":[843,780],""9"":[880,780],""10"":[940,780],""11"":[1030,780]}"
"180-200","zb","{""7"":[926,880],""8"":[952,880],""9"":[995,880],""10"":[1065,880],""11"":[1170,880]}"
"200-225","zb","{""7"":[1006,960],""8"":[1032,960],""9"":[1075,960],""10"":[1145,960],""11"":[1250,960]}"
"225-250","zb","{""7"":[1096,1050],""8"":[1122,1050],""9"":[1165,1050],""10"":[1235,1050],""11"":[1340,1050]}"
"250-280","zb","{""7"":[1252,1200],""8"":[1281,1200],""9"":[1330,1200],""10"":[1410,1200],""11"":[1520,1200]}"
"280-315","zb","{""7"":[1352,1300],""8"":[1381,1300],""9"":[1430,1300],""10"":[1510,1300],""11"":[1620,1300]}"
"315-355","zb","{""7"":[1557,1500],""8"":[1589,1500],""9"":[1640,1500],""10"":[1730,1500],""11"":[1860,1500]}"
"355-400","zb","{""7"":[1707,1650],""8"":[1739,1650],""9"":[1790,1650],""10"":[1880,1650],""11"":[2010,1650]}"
"400-450","zb","{""7"":[1913,1850],""8"":[1947,1850],""9"":[2005,1850],""10"":[2100,1850],""11"":[2250,1850]}"
"450-500","zb","{""7"":[2163,2100],""8"":[2197,2100],""9"":[2255,2100],""10"":[2350,2100],""11"":[2500,2100]}"
