range_id,deviation_code,grades
"0-3","zc","{""7"":[70,60],""8"":[74,60],""9"":[85,60],""10"":[100,60],""11"":[120,60]}"
"3-6","zc","{""7"":[92,80],""8"":[98,80],""9"":[110,80],""10"":[128,80],""11"":[155,80]}"
"6-10","zc","{""7"":[112,97],""8"":[119,97],""9"":[133,97],""10"":[155,97],""11"":[187,97]}"
"10-14","zc","{""7"":[148,130],""8"":[157,130],""9"":[173,130],""10"":[200,130],""11"":[240,130]}"
"14-18","zc","{""7"":[168,150],""8"":[177,150],""9"":[193,150],""10"":[220,150],""11"":[260,150]}"
"18-24","zc","{""7"":[209,188],""8"":[221,188],""9"":[240,188],""10"":[272,188],""11"":[318,188]}"
"24-30","zc","{""7"":[239,218],""8"":[251,218],""9"":[270,218],""10"":[302,218],""11"":[348,218]}"
"30-40","zc","{""7"":[299,274],""8"":[313,274],""9"":[336,274],""10"":[374,274],""11"":[434,274]}"
"40-50","zc","{""7"":[350,325],""8"":[364,325],""9"":[387,325],""10"":[425,325],""11"":[485,325]}"
"50-65","zc","{""7"":[435,405],""8"":[451,405],""9"":[479,405],""10"":[525,405],""11"":[595,405]}"
"65-80","zc","{""7"":[510,480],""8"":[526,480],""9"":[554,480],""10"":[600,480],""11"":[670,480]}"
"80-100","zc","{""7"":[620,585],""8"":[639,585],""9"":[672,585],""10"":[725,585],""11"":[805,585]}"
"100-120","zc","{""7"":[725,690],""8"":[744,690],""9"":[777,690],""10"":[830,690],""11"":[910,690]}"
"120-140","zc","{""7"":[840,800],""8"":[863,800],""9"":[900,800],""10"":[960,800],""11"":[1050,800]}"
"140-160","zc","{""7"":[940,900],""8"":[963,900],""9"":[1000,900],""10"":[1060,900],""11"":[1150,900]}"
"160-180","zc","{""7"":[1040,1000],""8"":[1063,1000],""9"":[1100,1000],""10"":[1160,1000],""11"":[1250,1000]}"
"180-200","zc","{""7"":[1196,1150],""8"":[1222,1150],""9"":[1265,1150],""10"":[1335,1150],""11"":[1440,1150]}"
"200-225","zc","{""7"":[1296,1250],""8"":[1322,1250],""9"":[1365,1250],""10"":[1435,1250],""11"":[1540,1250]}"
"225-250","zc","{""7"":[1396,1350],""8"":[1422,1350],""9"":[1465,1350],""10"":[1535,1350],""11"":[1640,1350]}"
"250-280","zc","{""7"":[1602,1550],""8"":[1631,1550],""9"":[1680,1550],""10"":[1760,1550],""11"":[1870,1550]}"
"280-315","zc","{""7"":[1752,1700],""8"":[1781,1700],""9"":[1830,1700],""10"":[1910,1700],""11"":[2020,1700]}"
"315-355","zc","{""7"":[1957,1900],""8"":[1989,1900],""9"":[2040,1900],""10"":[2130,1900],""11"":[2260,1900]}"
"355-400","zc","{""7"":[2157,2100],""8"":[2189,2100],""9"":[2240,2100],""10"":[2330,2100],""11"":[2460,2100]}"
"400-450","zc","{""7"":[2463,2400],""8"":[2497,2400],""9"":[2555,2400],""10"":[2650,2400],""11"":[2800,2400]}"
"450-500","zc","{""7"":[2663,2600],""8"":[2697,2600],""9"":[2755,2600],""10"":[2850,2600],""11"":[3000,2600]}"
